seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,dropout,batch_size,grad_clip,MAE,MAPE,MSE,RMSE,r2,runtime
1048596,12,8,4,8,2,1,120,FE,1e-05,0.1,128,1.0,716.5722045898438,23.735066689550877,711099.36328125,716.5722045898438,-inf,129.533632
1048596,12,8,4,8,8,1,30,IND,1e-05,0.1,16,0.01,2708.7980346679688,135.98830699920654,10061431.625,2708.7980346679688,-inf,210.780832
1048596,12,8,4,8,8,1,120,NAE,1e-05,0.5,16,0.01,1109.311767578125,104.36543896794319,1491482.75390625,1109.311767578125,-inf,820.142003
1048596,12,8,4,8,8,1,120,NE,0.1,0.1,128,0.01,1067.454833984375,48.47593531012535,1443017.5625,1067.454833984375,-inf,130.139453
1048596,12,8,4,128,8,3,120,SAE,1e-05,0.5,128,0.01,463.50762939453125,13.367430865764618,300222.1833496094,463.50762939453125,-inf,169.355496
1048596,12,8,4,8,2,3,120,SAW,0.1,0.1,16,1.0,826.1976318359375,74.05071333050728,742008.328125,826.1976318359375,-inf,845.984972
1048596,12,8,4,8,2,1,30,SE,1e-05,0.5,16,1.0,1880.4320068359375,120.68176567554474,4966478.109375,1880.4320068359375,-inf,208.160328
1048596,12,8,4,8,8,1,30,NAW,1e-05,0.1,128,0.01,863.32275390625,28.06622739881277,1094023.2021484375,863.32275390625,-inf,37.296764
1048596,12,8,4,128,2,1,30,FE,0.1,0.5,16,1.0,1402.5530395507812,41.96683503687382,2723847.037109375,1402.5530395507812,-inf,283.998002
1048596,12,8,4,128,8,3,30,IND,0.1,0.5,16,0.01,908.8729248046875,46.76374793052673,1181708.63671875,908.8729248046875,-inf,296.435025
1048596,12,8,4,8,2,1,30,NAE,1e-05,0.1,16,0.01,1098.4483947753906,109.28497575223446,1465572.015625,1098.4483947753906,-inf,210.947692
1048596,12,8,4,128,8,1,120,NE,1e-05,0.1,16,0.01,667.5709533691406,31.74435980618,476048.1171875,667.5709533691406,-inf,1161.028527
1048596,12,8,4,128,8,1,30,SAE,0.1,0.1,128,0.01,515.33740234375,16.159493988379836,664393.6199836731,515.33740234375,-inf,48.303714
1048596,12,8,4,128,2,3,30,SAW,1e-05,0.1,16,0.01,552.0513610839844,54.279340989887714,377077.3671875,552.0513610839844,-inf,293.110848
1048596,12,8,4,128,2,1,30,SE,0.1,0.5,128,1.0,1216.2901611328125,76.11988484859467,1964733.7890625,1216.2901611328125,-inf,45.581933
1048596,12,8,4,8,2,3,30,NAW,0.1,0.5,16,1.0,1127.4537353515625,32.022616639733315,2566747.0859375,1127.4537353515625,-inf,206.187529
1048596,12,8,4,128,2,3,120,FE,0.1,0.5,128,1.0,1075.623291015625,37.06950172781944,1176941.515625,1075.623291015625,-inf,160.806717
1048596,12,8,4,128,2,3,30,IND,1e-05,0.1,128,0.01,756.1751708984375,40.65601043403149,810132.3217773438,756.1751708984375,-inf,44.986068
1048596,12,8,4,128,2,1,30,NAE,1e-05,0.5,16,0.01,998.9761657714844,100.58451220393181,1265364.484375,998.9761657714844,-inf,277.374351
1048596,12,8,4,128,2,1,120,NE,0.1,0.5,128,0.01,897.3775329589844,44.404337368905544,958214.111328125,897.3775329589844,-inf,160.064945
1048596,12,8,4,128,2,3,120,SAE,0.1,0.5,16,1.0,453.9635009765625,13.831018004566431,332045.7004394531,453.9635009765625,-inf,1091.328876
1048596,12,8,4,128,2,3,30,SAW,0.1,0.5,128,0.01,1291.0631103515625,120.79165577888489,1803378.703125,1291.0631103515625,-inf,45.178967
1048596,12,8,4,128,8,1,120,SE,1e-05,0.1,128,0.01,720.2190856933594,39.32551611214876,781634.9716796875,720.2190856933594,-inf,161.739071
1048596,12,8,4,8,8,1,120,NAW,0.1,0.5,128,1.0,1128.0996704101562,31.570493802428246,2649719.15625,1128.0996704101562,-inf,130.961706
1048596,12,8,4,128,2,3,120,FE,0.1,0.1,128,0.01,1157.3330078125,40.69750718772411,1413373.453125,1157.3330078125,-inf,161.32347
1048596,12,8,4,128,8,1,30,IND,0.1,0.5,16,1.0,429.36395263671875,19.77110616862774,226207.5029296875,429.36395263671875,-inf,277.41309
1048596,12,8,4,8,2,3,120,NAE,1e-05,0.5,128,1.0,559.8701782226562,62.00396902859211,464688.408203125,559.8701782226562,-inf,129.759082
1048596,12,8,4,128,8,1,30,NE,1e-05,0.1,16,1.0,741.3821411132812,28.885746747255325,930023.236328125,741.3821411132812,-inf,281.56729
1048596,12,8,4,8,8,3,120,SAE,0.1,0.5,128,0.01,269.66217041015625,7.535640150308609,131153.07232666016,269.66217041015625,-inf,131.962529
1048596,12,8,4,128,2,3,30,SAW,1e-05,0.5,16,1.0,641.0688934326172,64.19976651668549,545765.1650390625,641.0688934326172,-inf,279.757256
1048596,12,8,4,8,8,1,30,SE,0.1,0.5,128,0.01,770.6617126464844,42.44036227464676,966129.1313171387,770.6617126464844,-inf,38.085811
1048596,12,8,4,8,2,1,120,NAW,1e-05,0.5,128,0.01,673.3283996582031,18.738687504082918,1103832.0080871582,673.3283996582031,-inf,128.766419
1048596,12,8,4,8,2,1,30,FE,0.1,0.5,16,0.01,1140.88037109375,32.794404588639736,1852951.009765625,1140.88037109375,-inf,199.849678
1048596,12,8,4,128,8,3,120,IND,0.1,0.5,128,1.0,1486.1682739257812,78.16288769245148,2446898.5703125,1486.1682739257812,-inf,160.124431
1048596,12,8,4,8,8,3,30,NAE,0.1,0.1,128,0.01,900.5568542480469,82.64529332518578,904075.078125,900.5568542480469,-inf,37.476959
1048596,12,8,4,128,8,3,30,NE,1e-05,0.1,128,0.01,1070.8013000488281,43.759793788194656,1916947.39453125,1070.8013000488281,-inf,45.994581
1048596,12,8,4,128,2,3,30,SAE,0.1,0.1,16,1.0,307.8597412109375,8.767508482560515,171351.91552734375,307.8597412109375,-inf,279.718474
1048596,12,8,4,128,8,1,120,SAW,0.1,0.1,128,1.0,1087.7921752929688,102.7732141315937,1361017.625,1087.7921752929688,-inf,160.822434
1048596,12,8,4,128,2,1,30,SE,1e-05,0.5,128,0.01,1027.9505310058594,62.46969411149621,1579852.0060424805,1027.9505310058594,-inf,44.775953
1048596,12,8,4,8,8,3,30,NAW,0.1,0.5,128,1.0,1134.6581115722656,31.831827014684677,2661684.7431640625,1134.6581115722656,-inf,38.206999
1048596,12,8,4,128,2,3,120,FE,1e-05,0.1,16,1.0,1090.2097778320312,29.556860774755478,2117709.0936279297,1090.2097778320312,-inf,1063.121147
1048596,12,8,4,8,2,3,30,IND,0.1,0.1,128,0.01,713.7839965820312,35.22534519433975,598763.392578125,713.7839965820312,-inf,37.039848
1048596,12,8,4,8,8,3,120,NAE,1e-05,0.5,16,1.0,1003.5008850097656,108.64651910960674,1408801.6796875,1003.5008850097656,-inf,809.691466
1048596,12,8,4,128,8,1,30,NE,0.1,0.5,128,1.0,951.3625793457031,52.316056564450264,1333271.5036621094,951.3625793457031,-inf,45.52381
1048596,12,8,4,8,2,1,120,SAE,0.1,0.5,16,1.0,203.50653076171875,5.704096332192421,71472.03356933594,203.50653076171875,-inf,776.343151
1048596,12,8,4,8,8,1,30,SAW,1e-05,0.5,128,1.0,1282.018798828125,119.81247514486313,1737417.90625,1282.018798828125,-inf,37.725529
1048596,12,8,4,128,2,1,30,SE,0.1,0.1,128,0.01,1138.3762817382812,79.99514434486628,2274173.767578125,1138.3762817382812,-inf,46.912142
1048596,12,8,4,8,2,1,30,NAW,1e-05,0.5,128,1.0,1008.027099609375,31.11015297472477,1645485.146484375,1008.027099609375,-inf,37.252972
