trial_index,test_size,window_size,hidden_size,lstm_layers,num_attention_heads,dropout,batch_size,lr,epochs,grad_clip,mae,mape,mse,rmse,r2,runtime_s,started_at,epochs_ran
0,48,28,512,2,8,0.12722709774971008,32,1.4325248784391828e-05,2000,1.0,618.3601116761228,36.905245375809194,694432.6448343067,833.3262535371765,-0.4359828143719444,363.97333,2025-11-24T13:42:04,135
1,48,32,256,2,8,0.4155901470221579,32,3.234347448268012e-05,2000,1.0,2900.626462138227,198.46464051235768,9092389.111236252,3015.358869394529,-17.801700355594846,215.206879,2025-11-24T13:48:08,191
2,48,29,512,3,2,0.28988727601245046,32,0.0017562616643664755,2000,1.0,321.6922134377429,19.470153795333513,178579.07061637775,422.58616945704426,0.6307251994571501,393.188292,2025-11-24T13:51:44,123
3,48,41,256,1,16,0.0001260116696357727,64,0.00027624739269387896,2000,1.0,2777.713934313659,218.18942686855868,9173443.85858144,3028.7693637154744,-17.96930944637819,145.310653,2025-11-24T13:58:17,190
4,48,36,512,2,16,0.09500396298244596,64,0.0004739901076141467,2000,1.0,2144.0999374946337,168.62285638205893,5740103.804554768,2395.851373636263,-10.869675881983323,322.065066,2025-11-24T14:00:42,129
5,48,25,256,4,2,0.3219662494957447,32,7.679036564368754e-05,2000,1.0,1689.773468308942,129.86528831062859,3355929.352710653,1831.9195813983356,-5.939559815608466,323.215523,2025-11-24T14:06:04,236
6,48,33,512,1,8,0.44626531191170216,32,0.0041615136625856395,2000,1.0,415.7735581622183,24.46920911902406,357701.2057966694,598.0812702272739,0.2603274226448583,261.497329,2025-11-24T14:11:27,132
7,48,47,256,3,4,0.2187537462450564,64,2.0698992366460928e-05,2000,1.0,2948.2068672861915,231.79771832191332,10446394.757633949,3232.08829669518,-20.601581457459794,428.045085,2025-11-24T14:15:49,396
8,48,48,512,1,2,0.3852302203886211,64,0.000622245993408437,2000,1.0,2850.6425728003965,224.24925763700264,9985586.967952162,3159.9979379664414,-19.648699890566213,239.171918,2025-11-24T14:22:57,131
9,48,36,256,3,16,0.1586950896307826,32,0.00012094967489845872,2000,1.0,2913.3993106584217,204.60108721130132,8570404.475918204,2927.525316016619,-16.72231422468827,273.256407,2025-11-24T14:26:56,201
