trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,24,27,32,256,16,8,627,2.157694652726261e-05,1058.6419191295079,60.04579012898833,1243694.4062828994,1115.210476225407,-8.649920753646839,8.221999,2025-11-21T11:50:50
1,16,27,32,512,32,7,1584,0.0001381654331689398,474.9624491813547,29.716964346890602,291231.4759650598,539.6586661632145,-3.7269677671025683,16.493205,2025-11-21T11:50:58
2,24,28,32,512,16,1,658,4.5786378144104623e-05,705.1073661109191,39.74903341589274,710395.1143966798,842.8494019673265,-4.51201044490868,1.515038,2025-11-21T11:51:14
3,24,26,16,1024,16,9,1237,0.0060321556383666885,1230.1703004771641,69.30277242156805,1642200.2956098623,1281.4836306445206,-11.741958662991598,20.286777,2025-11-21T11:51:16
4,20,24,32,1024,4,1,1036,5.329249839183012e-05,317.41971552519533,18.403194528426486,195711.03289906832,442.39239697249354,-1.3127714337976522,2.607378,2025-11-21T11:51:36
5,24,24,64,256,4,4,944,0.0032071496637326503,1170.4495973521641,66.10587041363306,1498833.1513614748,1224.2684147528576,-10.629561941027973,6.034976,2025-11-21T11:51:39
6,24,27,32,512,32,10,1821,0.00019090258041565232,1152.9273195201329,65.16780369759714,1458115.8217957586,1207.5246671582981,-10.313633042719568,27.946033,2025-11-21T11:51:45
7,20,27,32,512,32,3,1580,0.00032991041033185946,658.6832234872538,39.69875571985776,550454.2885416202,741.9260667624641,-5.504870651860578,7.747309,2025-11-21T11:52:13
8,24,26,16,1024,8,7,1385,3.597191234579604e-05,1098.5563173228672,62.01907223647575,1319004.6641432398,1148.4792832886624,-9.234258848775076,17.662088,2025-11-21T11:52:20
9,20,28,16,512,8,4,730,0.0004907411941825872,785.3870076669413,46.435468655801024,701487.729848372,837.5486432729576,-7.289674622429541,4.712497,2025-11-21T11:52:38
10,20,28,16,512,16,10,636,0.00023302521269361246,899.53787436616,52.81639428978482,893786.372102766,945.4027565555148,-9.562120891687126,9.837896,2025-11-21T11:52:43
11,24,25,16,512,16,1,1946,0.005310530905228907,1383.1651938690914,77.48237514610388,2041310.9837219517,1428.7445480987676,-14.838689252723832,4.657448,2025-11-21T11:52:53
12,16,28,64,256,32,8,432,1.6548731344174482e-05,324.8042108695421,20.173437829060063,137832.31841873884,371.2577519981756,-1.2371514764034726,4.979554,2025-11-21T11:52:57
13,24,24,16,1024,8,5,1910,0.0033892185116156156,1344.8678916229976,75.44257836184552,1937547.7932934898,1391.9582584594589,-14.033582660845779,18.450858,2025-11-21T11:53:02
14,16,24,32,256,32,10,764,0.0017377704579066187,961.6735266098672,58.15400054443517,986426.608786402,993.1901171409238,-15.010655334882252,11.365605,2025-11-21T11:53:21
15,16,28,16,256,16,10,651,0.0002110096542901322,666.3251379379922,40.8891668791475,505579.80189253413,711.0413503394399,-7.206047850167238,9.699163,2025-11-21T11:53:32
16,16,28,64,256,32,7,794,3.282249599936481e-05,343.9710657279405,21.436811269298875,153806.82350094695,392.18213052221915,-1.4964331023636874,8.368273,2025-11-21T11:53:42
17,16,28,64,512,32,7,666,2.2389962317135268e-05,321.8075616176445,19.921377738444985,129529.38592370918,359.9019115310576,-1.102386873276775,6.819444,2025-11-21T11:53:51
18,20,25,32,1024,4,1,954,3.07729699521224e-05,565.7443538590877,32.39325776347522,415991.179051361,644.9737816774888,-3.915882877783188,2.457158,2025-11-21T11:53:59
19,16,28,32,512,32,7,664,2.225623279837898e-05,417.80740462569065,25.86647836450322,212165.20812824828,460.6139469536808,-2.4436459754204556,7.017396,2025-11-21T11:54:02
20,16,27,64,512,32,8,701,2.1270482017679295e-05,406.1274316127617,25.667471029689654,233154.25276969903,482.86048996547544,-2.784318415285155,8.50378,2025-11-21T11:54:10
21,16,28,64,512,32,9,705,2.3909720649566383e-05,316.71684811666796,19.678137273009817,128305.0737908315,358.19697624467955,-1.0825151064294314,9.414761,2025-11-21T11:54:19
22,16,28,64,512,32,8,693,1.715978928381985e-05,345.51993666914774,21.439241392396973,150054.42007814132,387.36858426844753,-1.435527975368089,8.426406,2025-11-21T11:54:29
23,16,28,64,512,32,8,440,5.3997193814901673e-05,353.1621987636406,21.977873965937903,159702.4003120613,399.62782724938126,-1.592124000685263,5.138698,2025-11-21T11:54:39
24,16,28,64,512,32,8,696,3.1839366043537404e-05,328.2469155605156,20.36361324408512,135881.94487186405,368.62168258509166,-1.205495032472279,8.636657,2025-11-21T11:54:45
25,16,28,64,256,32,9,636,2.6490485532628953e-05,404.8662698085625,25.261596585719186,208410.56827634375,456.52006338861355,-2.382704549023397,8.178334,2025-11-21T11:54:54
26,16,28,64,256,32,5,383,1.7175988622717244e-05,309.0727136854634,19.309393775298464,139971.61720774334,374.1278086533309,-1.271874359245433,3.234988,2025-11-21T11:55:03
27,16,28,64,256,32,6,497,1.8628491585084947e-05,395.4261529262383,24.836274564647105,210895.88464964065,459.2340194820508,-2.4230436310154686,5.008794,2025-11-21T11:55:08
28,16,28,64,512,32,6,525,2.2392929089278655e-05,307.06467839883896,18.970285654316033,121598.82875403223,348.7102360901272,-0.9736662808613981,4.684027,2025-11-21T11:55:14
29,16,28,64,512,32,6,345,1.5549462763586833e-05,425.9662486198313,26.35245734693448,224321.43082329255,473.62583420173837,-2.640953195248881,3.154009,2025-11-21T11:55:20
