seed,deleted_samples,window_size,test_size,hidden_size,num_layers,epoch_number,Target,LR,MAE,MAPE,MSE,RMSE,r2
1048596,0,8,4,32,2,500,NE,0.01,789.1583759023437,30.562215640045327,735940.8898459511,857.8699725750698,-0.03568991172700886
1048596,0,8,4,32,2,500,NE,0.001,1578.2279397851562,53.51397943454073,3194600.374286499,1787.3445035265302,-3.4957623979018484
1048596,0,8,4,32,2,500,SE,0.01,1389.3170310109376,367.2730583912455,2012692.94094238,1418.6940970281014,-18.370042904041995
1048596,0,8,4,32,2,500,SE,0.001,3818.254897221875,868.1347435182709,14920431.210395295,3862.6974008321304,-142.5933851672598
1048596,0,8,4,32,2,500,NAE,0.01,995.92822384375,96.11683485364979,1148596.6652958058,1071.7260215632566,-0.22680964213226695
1048596,0,8,4,32,2,500,NAE,0.001,1301.482667203125,136.78514813998248,2080767.2751970212,1442.4864904729684,-1.2224558309923133
1048596,0,8,4,32,2,500,NAW,0.01,1674.8643437187502,39.57887010964684,5041739.187711864,2245.3817465437505,-0.760696478876622
1048596,0,8,4,32,2,500,NAW,0.001,1582.5113468925783,36.57031084227898,4671903.379112987,2161.4586230397717,-0.6315409272468169
1048596,0,8,4,32,2,500,SAE,0.01,380.3059033867187,10.594723159576198,173422.71985904325,416.4405358019837,-0.12280750725568379
1048596,0,8,4,32,2,500,SAE,0.001,774.184558902344,24.05612573579538,949927.30274265,974.6421408612753,-5.150206315144309
1048596,0,8,4,32,2,500,SAW,0.01,502.1613281472656,57.301002083677396,258916.51372145096,508.8383964693024,-45.35175093186438
1048596,0,8,4,32,2,500,SAW,0.001,1113.1458557351561,124.82440441408448,1333129.7073681392,1154.612362383211,-237.65954035776807
1048596,0,8,4,32,2,500,XSICFEUW Index  (R4),0.01,741.060791015625,16.204023783891436,734117.4052179158,856.8065156252699,-10.289511279523206
1048596,0,8,4,32,2,500,XSICFEUW Index  (R4),0.001,624.4362182617188,13.763022017027767,460326.3104187101,678.4735148984889,-6.079057160061054
1048596,0,8,4,32,2,500,XSICFENE Index  (R1),0.01,368.0992431640625,7.31109862322348,145147.38641744852,380.9821339872101,-631.4504854790786
1048596,0,8,4,32,2,500,XSICFENE Index  (R1),0.001,338.728759765625,6.738340291715778,199348.16501796246,446.4842270651478,-867.6194554159584
1048596,0,8,4,32,2,500,XSICFESE Index  (L4),0.01,957.3406982421875,16.774117772195943,969996.6073208451,984.8840578062197,-18.36642822558664
1048596,0,8,4,32,2,500,XSICFESE Index  (L4),0.001,69.8170166015625,1.2007100446395251,5306.20071464777,72.84367312709986,0.8940592631817402
1048596,0,8,4,32,2,500,XSICNEFE Index  (R2),0.01,111.79817962646484,32.66019745941764,14081.544515084708,118.66568381417059,-18774.39268677961
1048596,0,8,4,32,2,500,XSICNEFE Index  (R2),0.001,174.9341583251953,51.146385891168734,52746.71525547374,229.6665305513055,-70327.95367396499
1048596,0,8,4,32,2,500,XSICNESE Index  (L2),0.01,17.466598510742188,3.0610531802491305,489.1478685559705,22.116687558401924,-243.57393427798524
1048596,0,8,4,32,2,500,XSICNESE Index  (L2),0.001,145.48182678222656,25.518051424472677,29873.601432015188,172.83981437161748,-14935.800716007594
1048596,0,8,4,32,2,500,XSICUENE Index  (R1),0.01,11.656021118164062,2.0184602193658794,164.78006345499307,12.83666870550896,-96.64744501036627
1048596,0,8,4,32,2,500,XSICUENE Index  (R1),0.001,7.89715576171875,1.3675061692613326,67.44688486494124,8.212605242244463,-38.968524364409625
1048596,0,8,4,32,2,1000,NE,0.01,821.4063007070312,31.582674722819053,801411.8879516999,895.2161124285576,-0.12782727382278214
1048596,0,8,4,32,2,1000,NE,0.001,1066.4618121816407,37.453996278093,1443594.3937577172,1201.496730647952,-1.0315709737958656
