seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,MAE,MAPE,MSE,RMSE,r2
1048596,0,8,4,32,2,2,50,NE,0.01,1966.1885986328125,57.29115605354309,3865897.5,1966.1885986328125,-inf
1048596,0,8,4,32,2,2,50,NE,0.001,885.098388671875,25.790154933929443,783399.1875,885.098388671875,-inf
1048596,0,8,4,32,2,2,50,SE,0.01,1971.9879150390625,179.4336199760437,3888736.25,1971.9879150390625,-inf
1048596,0,8,4,32,2,2,50,SE,0.001,3649.2802734375,332.05251693725586,13317247.0,3649.2802734375,-inf
1048596,0,8,4,32,2,2,50,NAE,0.01,1415.8455810546875,225.63276290893555,2004618.75,1415.8455810546875,-inf
1048596,0,8,4,32,2,2,50,NAE,0.001,1375.914794921875,219.2692995071411,1893141.5,1375.914794921875,-inf
1048596,0,8,4,32,2,2,50,NAW,0.01,3295.3671875,68.6450183391571,10859445.0,3295.3671875,-inf
1048596,0,8,4,32,2,2,50,NAW,0.001,2928.526611328125,61.00345253944397,8576268.0,2928.526611328125,-inf
1048596,0,8,4,32,2,2,50,SAE,0.01,197.733154296875,6.385215371847153,39098.3984375,197.733154296875,-inf
1048596,0,8,4,32,2,2,50,SAE,0.001,63.966064453125,2.0655974745750427,4091.657470703125,63.966064453125,-inf
1048596,0,8,4,32,2,2,50,SAW,0.01,940.2105102539062,106.18338584899902,883995.8125,940.2105102539062,-inf
1048596,0,8,4,32,2,2,50,SAW,0.001,935.5357055664062,105.65543174743652,875227.0625,935.5357055664062,-inf
1048596,0,8,4,32,2,2,50,XSICFEUW Index  (R4),0.01,11.16357421875,0.24295047266050057,124.62538933753967,11.16357421875,-inf
1048596,0,8,4,32,2,2,50,XSICFEUW Index  (R4),0.001,2193.85986328125,47.74450192124592,4813021.099716425,2193.85986328125,-inf
1048596,0,8,4,32,2,2,50,XSICFENE Index  (R1),0.01,687.458984375,13.694402079183268,472599.8551979065,687.458984375,-inf
1048596,0,8,4,32,2,2,50,XSICFENE Index  (R1),0.001,1092.462646484375,21.762204113234564,1193474.6339636445,1092.462646484375,-inf
1048596,0,8,4,32,2,2,50,XSICFESE Index  (L4),0.01,624.88525390625,11.304002422327244,390481.58054947853,624.88525390625,-inf
1048596,0,8,4,32,2,2,50,XSICFESE Index  (L4),0.001,1521.53076171875,27.52407311358086,2315055.8588564396,1521.53076171875,-inf
1048596,0,8,4,32,2,2,50,XSICNEFE Index  (R2),0.01,142.68072509765625,41.71951026247259,20357.789314392954,142.68072509765625,-inf
1048596,0,8,4,32,2,2,50,XSICNEFE Index  (R2),0.001,407.5465087890625,119.1656458447551,166094.1568261534,407.5465087890625,-inf
1048596,0,8,4,32,2,2,50,XSICNESE Index  (L2),0.01,11.76953125,2.0684589191564147,138.52186584472656,11.76953125,-inf
