trial_index,window_size,batch_size,epoch_number,lr,hidden_size1,hidden_size2,hidden_size3,dropout,weight_decay,mae,mape,mse,rmse,r2,runtime_s,started_at
0,90,64,125,0.00017320508075688776,192,192,192,0.3,1e-05,0.11253531220690689,34.688370118857215,0.020330198660283568,0.1425840056257488,-1.3300258389357569,0.853104,2025-11-09T18:32:17
1,64,16,112,3.6385802240007774e-05,160,160,64,0.5785731196403503,0.00012726424535575623,0.12371574478332874,38.06994805899156,0.02355719155639337,0.1534835221005609,-1.6998686012048143,1.39861,2025-11-09T18:32:18
2,138,64,197,0.0024654574102255353,256,256,192,0.24746041316539047,2.353089415244518e-06,0.18313154460278833,61.77271157395361,0.04204759148988754,0.20505509379161382,-3.819036757759193,0.681783,2025-11-09T18:32:19
3,127,32,86,9.596717196580443e-05,384,32,320,0.008924297802150248,2.253488398746295e-07,0.1178105089762278,36.00310695038103,0.021582219418433624,0.1469088813463421,-1.4735188153754115,0.588871,2025-11-09T18:32:20
4,35,128,152,0.00045870998685230746,32,384,128,0.3667979724705219,0.005138988741692876,0.11898612593752395,37.54441021563888,0.021309393767874482,0.14597737416419876,-1.4422505121999425,0.773965,2025-11-09T18:32:20
