trial_index,window_size,batch_size,hidden_size,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,90,64,144,3,125,0.001,1594.7864918493976,37.79622467572232,3261459.2503290973,1805.9510653196273,-3.470665100285185,4.631801,2025-11-09T18:04:54
1,161,16,162,3,78,0.015190771400165845,2192.3427102207547,63.35798673259636,5536178.428689854,2352.908504105048,-6.588750246564622,4.244402,2025-11-09T18:04:59
2,26,128,57,3,181,0.00023660745376395106,985.8030170374747,22.006995908693426,1602770.2940718762,1266.0056453554528,-1.1970071270269376,2.099464,2025-11-09T18:05:03
3,65,32,114,5,97,0.0068669062298333215,874.7583724137688,19.71927765230591,1254631.5489884065,1120.1033653142938,-0.7197938251760259,4.751881,2025-11-09T18:05:05
4,127,64,218,2,162,4.512783481926191e-05,1818.547616065487,43.89234583691445,3976007.8560523563,1993.9929428291255,-4.45013694674228,3.058814,2025-11-09T18:05:10
