trial_index,window_size,batch_size,hidden_size,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,42,16,395,8,396,0.04098960747672266,4490.897125921875,115.03078031804512,20897681.390120354,4571.398187657727,-27.645623844070123,63.197367,2025-11-09T20:17:10
1,42,64,316,6,268,0.07808157162031597,3638.1799221458336,92.27046853831912,13965830.745467572,3737.0885386176724,-18.143747420407458,11.145428,2025-11-09T20:18:14
2,42,16,256,5,460,0.03133541085438768,2930.373810492187,73.37762341407199,9316615.063725496,3052.313067777533,-11.770806752831872,44.369886,2025-11-09T20:18:25
3,43,64,167,10,599,0.0001457857175774636,764.1150908697917,20.10425218892412,730313.0173062269,854.5835344226022,-0.0010810094976554385,63.316635,2025-11-09T20:19:09
4,42,16,401,1,268,0.01654885590723643,1448.395111761719,34.19340819182261,2723129.718431568,1650.19081273396,-2.7327466208608913,7.755765,2025-11-09T20:20:12
5,43,64,270,1,904,0.023730303803220474,599.7819224407552,15.760571992822978,541612.2067223871,735.9430730174631,0.25758177409762417,9.972442,2025-11-09T20:20:20
6,43,64,131,3,204,0.019653753350919626,1319.549408636719,30.525091535569775,2432208.607263777,1559.553977027976,-2.333964738639676,3.812535,2025-11-09T20:20:30
7,43,32,37,6,63,0.0003441654943526814,1775.763082546224,42.56536313004879,3880993.502855973,1970.0237315463926,-4.319895444317137,0.800333,2025-11-09T20:20:34
8,42,16,61,3,183,0.09722141653331445,4370.301148138672,111.81188130213529,19829049.654720534,4452.982108062027,-26.180790394433405,3.076001,2025-11-09T20:20:35
9,43,16,82,7,769,1.9041798635345034e-05,1183.140971686849,30.52425326561886,1845589.8689282567,1358.5248871214162,-1.529853535844392,20.372825,2025-11-09T20:20:38
10,42,32,125,7,242,0.009735030897565116,813.0923857916667,22.875148921852894,800164.1156643064,894.5189297406213,-0.09682982733572687,3.872204,2025-11-09T20:20:58
11,43,16,304,4,617,1.4885845094657447e-05,1081.5686493027345,29.648293454939335,1312224.4307395115,1145.5236491402138,-0.7987396180580113,49.985922,2025-11-09T20:21:02
12,43,64,203,2,706,0.0046386518138034705,732.5060545045575,18.9616708828003,694227.9848016802,833.2034474254654,0.04838276824062382,12.016379,2025-11-09T20:21:53
13,42,32,96,8,439,0.0009870694875494927,1738.6009265247394,52.57133717489813,4237408.920512262,2058.496762327369,-4.8084540454275935,7.152906,2025-11-09T20:22:05
14,43,64,185,6,663,0.0001611311358723873,1363.4541371770833,40.05530026665049,2373438.0069316407,1540.5966399196257,-2.2534045808510488,44.226274,2025-11-09T20:22:13
15,43,64,224,1,650,0.026090723890917156,588.6731857864584,15.89508689796634,502459.2717035811,708.8436158304461,0.3112508978632046,6.400383,2025-11-09T20:22:58
16,43,32,163,10,619,3.9214241314483716e-05,808.04827771875,22.58977786160796,784992.5069236936,885.9980287357831,-0.07603325239615177,72.306326,2025-11-09T20:23:05
17,43,32,105,10,721,0.00012607728673477212,2307.265172130208,69.86577316775144,7516509.491777346,2741.6253376012824,-9.303301093662453,15.555465,2025-11-09T20:24:18
18,43,64,230,10,473,2.073622532233997e-05,765.8171172369792,20.20057340271023,729849.4990390637,854.3122959662138,-0.00044563901429217623,31.575893,2025-11-09T20:24:34
19,43,32,222,8,510,1.2122188009716328e-05,1666.5536709251303,39.52169762829512,3543995.44731232,1882.5502509394855,-3.8579533103993358,44.934236,2025-11-09T20:25:06
20,43,32,276,1,677,0.0045427791173894595,576.5887624121095,14.742167136450993,478706.0038445294,691.8858315101772,0.3438108342243512,10.530514,2025-11-09T20:25:52
21,43,64,264,1,710,0.006460644854374402,716.1428817096354,20.29706784015221,676783.113154776,822.6682886527085,0.07229543213268375,7.516904,2025-11-09T20:26:03
22,43,32,236,1,817,0.021143633627464534,712.986649141927,17.040087081545437,768872.2780643489,876.8536240812082,-0.0539363506602768,13.652125,2025-11-09T20:26:12
23,43,32,258,2,683,0.026988288940202266,916.1899964674479,20.414464930791254,1389788.4205130308,1178.892879151041,-0.9050609287058018,17.582405,2025-11-09T20:26:26
24,43,32,206,10,536,9.420042549066259e-05,804.1014189947917,22.366483823809578,774398.6905538043,879.9992559961652,-0.06151171418624912,59.305592,2025-11-09T20:26:45
25,43,64,189,10,573,1.5536390967876775e-05,1706.924907090495,40.72615629307014,3641903.01553713,1908.37706324959,-3.9921607049183017,64.455064,2025-11-09T20:27:45
