seed,deleted_samples,window_size,test_size,hidden_size,num_layers,epoch_number,Target,LR,MAE,MAPE,MSE,RMSE,r2
1048596,0,8,4,32,2,500,NE,0.01,0.010251017684692072,103.9047558415358,0.00012417911295249355,0.011143568232504952,-0.03569004307271917
1048596,0,8,4,32,2,500,NE,0.001,0.020500880775270562,118.42375578726391,0.0005390413964036383,0.023217265050036327,-3.4957625625240256
1048596,0,8,4,32,2,500,SE,0.01,0.09369628802939635,160.89725398187187,0.00915418259684756,0.09567749263461893,-18.370043283420262
1048596,0,8,4,32,2,500,SE,0.001,0.25750516281529645,510.44339878389246,0.06786149395649636,0.26050238762148875,-142.59338600778693
1048596,0,8,4,32,2,500,NAE,0.01,0.11202551588582695,218.57056798567052,0.014532668700570692,0.12055151886463601,-0.22680960205596423
1048596,0,8,4,32,2,500,NAE,0.001,0.14639536641704737,370.62292802758094,0.026327000429224878,0.16225597193701338,-1.2224560117190473
1048596,0,8,4,32,2,500,NAW,0.01,0.36155416575983934,101.10094961853109,0.2349458859324659,0.4847121681291547,-0.7606964027739271
1048596,0,8,4,32,2,500,NAW,0.001,0.34161785842642955,89.34942931882615,0.21771147814938752,0.46659562594326526,-0.631540875461023
1048596,0,8,4,32,2,500,SAE,0.01,0.03818172940744343,22.38664480337667,0.001748038686825758,0.04180955257863636,-0.12280715389698282
1048596,0,8,4,32,2,500,SAE,0.001,0.07772614147198262,57.17650583203161,0.009574927177144168,0.0978515568457864,-5.150205263512991
1048596,0,8,4,32,2,500,SAW,0.01,0.09577816268896229,1755.783371239458,0.009419030875206949,0.09705169176890709,-45.35175329105348
