trial_index,LR,epochs,gradclip,attention_heads,hidden_size,num_layers,window_size,mae,mape,mse,rmse,r2,runtime_s,started_at
0,0.050005,60,0.505,4,68,36,28,2906.1895751953125,35.4777554255253,23906691.384584457,4889.446940563365,-0.3086049871516252,176.940272,2025-11-04T22:50:10
1,0.057331412623524675,28,0.2574722512066364,1,61,59,20,2896.4105834960938,42.933192595312555,21201628.601842865,4604.5226247508945,-0.1605352023742772,84.893924,2025-11-04T22:53:07
2,0.04240172029166483,65,0.7420630321186036,8,80,34,37,2901.2623901367188,37.74020504163073,22974810.68630646,4793.204636389569,-0.25759568144806555,150.089539,2025-11-04T22:54:32
3,0.024008482269123197,45,0.4734470587596297,2,108,15,13,2898.9502563476562,36.65863375980845,23355112.99433227,4832.71279866001,-0.27841267736364217,74.695534,2025-11-04T22:57:02
4,0.07626008392219433,82,0.9589783970825374,4,36,47,39,2899.301513671875,38.046734996352036,22837214.49498561,4778.829824861481,-0.2500639381683727,181.035936,2025-11-04T22:58:17
5,0.07693997117835877,20,0.01,1,37,64,15,2920.4774780273438,31.161684616778306,26082051.578023687,5107.058994962138,-0.42767990020384716,44.681444,2025-11-04T23:01:18
6,0.039768502662793116,20,0.29856906535117517,1,86,64,16,2896.666259765625,36.31088321326648,23465836.44354719,4844.154874025725,-0.2844734599080099,65.086847,2025-11-04T23:02:04
7,0.03708387673431295,20,0.16182171998633452,1,64,64,23,2899.6168212890625,41.184025747076376,21761279.05847612,4664.898611810992,-0.1911693611054266,63.60202,2025-11-04T23:03:10
8,0.08790266311069866,30,0.4368299036756183,1,64,60,14,2896.19140625,41.04479355489679,21769487.254455715,4665.778311756327,-0.19161866151348472,68.904326,2025-11-04T23:04:14
9,0.03930077034417029,44,0.24035894163094437,1,60,44,23,2900.2762451171875,38.35020493714744,22742044.974568635,4768.862020919522,-0.24485454691305297,123.155081,2025-11-04T23:05:24
10,0.0663174603004815,34,0.4120273274168358,1,59,62,31,2897.72705078125,34.92733342290545,24025383.491568655,4901.569492679733,-0.31510195825634324,147.966181,2025-11-04T23:07:28
11,0.048662306068755885,20,0.10949103389749085,1,62,64,17,2903.375,32.1207273085079,25327697.14378473,5032.6630270448995,-0.3863880309591732,58.915266,2025-11-04T23:09:57
12,0.06266246704938805,29,0.3468789227928081,1,62,60,21,2897.70947265625,40.663455291428775,21919127.7842606,4681.786815336704,-0.19980968805214472,94.806457,2025-11-04T23:10:57
13,0.08193134810097276,20,0.19593751989416971,1,64,64,21,3011.9025268554688,32.69375912443536,27008689.65852268,5196.988518221171,-0.4784022353826711,61.427918,2025-11-04T23:12:33
14,0.05954354275485637,25,0.27450961432808935,1,61,54,9,2944.5235595703125,31.485758962379695,26379488.079817712,5136.096580071067,-0.44396098583577936,47.799047,2025-11-04T23:13:36
