seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,MAE,MAPE,MSE,RMSE,r2
1048596,12,8,4,32,2,2,50,XSICFENE Index  (R1),0.01,2277.4818115234375,55.92704775590227,6683674.178735554,2277.4818115234375,-inf
1048596,12,8,4,32,2,2,50,XSICFENE Index  (R1),0.001,2086.1411743164062,51.898237336436054,5894773.541623846,2086.1411743164062,-inf
1048596,12,8,4,32,2,2,50,XSICNEFE Index  (R2),0.01,98.33041381835938,26.54914779938619,14838.516127979383,98.33041381835938,-inf
1048596,12,8,4,32,2,2,50,XSICNEFE Index  (R2),0.001,94.09888458251953,26.256057159050243,11903.226112125674,94.09888458251953,-inf
1048596,12,8,4,32,2,2,50,XSICUENE Index  (R1),0.01,31.890724182128906,5.602763523637619,2460.5290282268543,31.890724182128906,-inf
1048596,12,8,4,32,2,2,50,XSICUENE Index  (R1),0.001,42.82353210449219,7.514003188732056,3170.267570390366,42.82353210449219,-inf
1048596,12,8,4,32,2,2,100,XSICFENE Index  (R1),0.01,2058.744873046875,51.96259761222677,5771720.187835246,2058.744873046875,-inf
1048596,12,8,4,32,2,2,100,XSICFENE Index  (R1),0.001,1264.921875,32.246974488585614,2406469.9000917673,1264.921875,-inf
1048596,12,8,4,32,2,2,100,XSICNEFE Index  (R2),0.01,167.95045471191406,48.00836547647682,41205.6963471272,167.95045471191406,-inf
1048596,12,8,4,32,2,2,100,XSICNEFE Index  (R2),0.001,224.52786254882812,64.23604117180365,76229.16081619449,224.52786254882812,-inf
1048596,12,8,4,32,2,2,100,XSICUENE Index  (R1),0.01,52.99950408935547,9.311437998094338,4545.066742936382,52.99950408935547,-inf
1048596,12,8,4,32,2,2,100,XSICUENE Index  (R1),0.001,37.1495361328125,6.481848866191019,1543.8740047756582,37.1495361328125,-inf
1048596,12,8,4,32,2,3,50,XSICFENE Index  (R1),0.01,2068.3345947265625,48.16385722627321,5081871.627826989,2068.3345947265625,-inf
1048596,12,8,4,32,2,3,50,XSICFENE Index  (R1),0.001,1409.1072387695312,34.56901029565461,3260263.078420356,1409.1072387695312,-inf
1048596,12,8,4,32,2,3,50,XSICNEFE Index  (R2),0.01,298.5784683227539,82.9683849013245,115628.32365428028,298.5784683227539,-inf
1048596,12,8,4,32,2,3,50,XSICNEFE Index  (R2),0.001,210.8009033203125,60.182303963924426,63690.37121759169,210.8009033203125,-inf
1048596,12,8,4,32,2,3,50,XSICUENE Index  (R1),0.01,19.21978759765625,3.3521792225868965,588.0130889955908,19.21978759765625,-inf
1048596,12,8,4,32,2,3,50,XSICUENE Index  (R1),0.001,15.4573974609375,2.6741298709880352,405.56101358123124,15.4573974609375,-inf
1048596,12,8,4,32,2,3,100,XSICFENE Index  (R1),0.01,1820.2752075195312,46.26997469079017,6271576.636828676,1820.2752075195312,-inf
1048596,12,8,4,32,2,3,100,XSICFENE Index  (R1),0.001,2154.0132446289062,53.602438920726556,5906689.372182265,2154.0132446289062,-inf
1048596,12,8,4,32,2,3,100,XSICNEFE Index  (R2),0.01,100.90668487548828,27.002233211248573,18500.68107120623,100.90668487548828,-inf
1048596,12,8,4,32,2,3,100,XSICNEFE Index  (R2),0.001,139.30270385742188,39.750025958006205,30547.22064162977,139.30270385742188,-inf
1048596,12,8,4,32,2,3,100,XSICUENE Index  (R1),0.01,34.21808624267578,5.993030543618728,2791.8806604838464,34.21808624267578,-inf
