seed,deleted_samples,window_size,test_size,hidden_size,n_head,num_layers,epoch_number,Target,LR,MAE,MAPE,MSE,RMSE,r2
1048596,12,8,4,32,2,2,50,XSICFENE Index  (R1),0.01,1066.2890625,26.131468915659624,1811675.8859499693,1066.2890625,-inf
1048596,12,8,4,32,2,2,50,XSICFENE Index  (R1),0.001,1655.783447265625,40.029679496493564,3429731.0405237377,1655.783447265625,-inf
1048596,12,8,4,32,2,2,50,XSICNEFE Index  (R2),0.01,164.74759674072266,43.382807732709814,63668.944419820094,164.74759674072266,-inf
1048596,12,8,4,32,2,2,50,XSICNEFE Index  (R2),0.001,140.9377899169922,39.951448844510246,25318.250269045122,140.9377899169922,-inf
1048596,12,8,4,32,2,2,50,XSICUENE Index  (R1),0.01,17.27423095703125,3.0140344289390884,453.25686918757856,17.27423095703125,-inf
1048596,12,8,4,32,2,2,50,XSICUENE Index  (R1),0.001,59.14452362060547,10.32372388654785,4129.813454150455,59.14452362060547,-inf
1048596,12,8,4,32,2,2,100,XSICFENE Index  (R1),0.01,1657.2886352539062,40.47508146528745,3700579.24088265,1657.2886352539062,-inf
1048596,12,8,4,32,2,2,100,XSICFENE Index  (R1),0.001,2494.7366943359375,60.286999533842916,6773542.856411904,2494.7366943359375,-inf
1048596,12,8,4,32,2,2,100,XSICNEFE Index  (R2),0.01,144.78797912597656,41.08623923998311,37349.96411103057,144.78797912597656,-inf
1048596,12,8,4,32,2,2,100,XSICNEFE Index  (R2),0.001,194.1989517211914,55.40565165466704,42460.12550232117,194.1989517211914,-inf
1048596,12,8,4,32,2,2,100,XSICUENE Index  (R1),0.01,31.657936096191406,5.4617505625162766,2796.9269536009524,31.657936096191406,-inf
1048596,12,8,4,32,2,2,100,XSICUENE Index  (R1),0.001,19.648056030273438,3.422860002416592,449.9922216879204,19.648056030273438,-inf
1048596,12,8,4,32,2,3,50,XSICFENE Index  (R1),0.01,1879.0809326171875,48.42196157708584,5486551.621801078,1879.0809326171875,-inf
1048596,12,8,4,32,2,3,50,XSICFENE Index  (R1),0.001,1673.9680786132812,42.85482458218251,4146002.6853942424,1673.9680786132812,-inf
1048596,12,8,4,32,2,3,50,XSICNEFE Index  (R2),0.01,178.452880859375,49.682375978774,37292.42868779041,178.452880859375,-inf
1048596,12,8,4,32,2,3,50,XSICNEFE Index  (R2),0.001,95.28987884521484,26.708641738456034,9180.33410756546,95.28987884521484,-inf
1048596,12,8,4,32,2,3,50,XSICUENE Index  (R1),0.01,76.56551361083984,13.368287284828043,7625.400108726928,76.56551361083984,-inf
1048596,12,8,4,32,2,3,50,XSICUENE Index  (R1),0.001,31.382675170898438,5.490018389564498,2010.908072735183,31.382675170898438,-inf
1048596,12,8,4,32,2,3,100,XSICFENE Index  (R1),0.01,1170.12939453125,25.085057641630993,2412342.279877305,1170.12939453125,-inf
1048596,12,8,4,32,2,3,100,XSICFENE Index  (R1),0.001,2296.7918701171875,55.46887094997395,6386465.809069693,2296.7918701171875,-inf
1048596,12,8,4,32,2,3,100,XSICNEFE Index  (R2),0.01,57.837989807128906,15.767206792226734,5993.793117881054,57.837989807128906,-inf
1048596,12,8,4,32,2,3,100,XSICNEFE Index  (R2),0.001,146.08332061767578,40.53335764767929,27299.183504982153,146.08332061767578,-inf
1048596,12,8,4,32,2,3,100,XSICUENE Index  (R1),0.01,35.34770965576172,6.210687089521807,2908.558339270996,35.34770965576172,-inf
1048596,12,8,4,32,2,3,100,XSICUENE Index  (R1),0.001,26.328811645507812,4.577603483434582,993.3999895462766,26.328811645507812,-inf
1048596,12,8,4,32,4,2,50,XSICFENE Index  (R1),0.01,1411.7958984375,36.56710314296626,3596254.2356847823,1411.7958984375,-inf
1048596,12,8,4,32,4,2,50,XSICFENE Index  (R1),0.001,2339.55078125,54.381591336881996,6545924.730733395,2339.55078125,-inf
1048596,12,8,4,32,4,2,50,XSICNEFE Index  (R2),0.01,44.21986389160156,12.309774646047618,3106.2593256398104,44.21986389160156,-inf
1048596,12,8,4,32,4,2,50,XSICNEFE Index  (R2),0.001,139.8031005859375,38.69128237546914,24164.786045478657,139.8031005859375,-inf
1048596,12,8,4,32,4,2,50,XSICUENE Index  (R1),0.01,34.991233825683594,6.040861472332655,3265.0232824396808,34.991233825683594,-inf
1048596,12,8,4,32,4,2,50,XSICUENE Index  (R1),0.001,13.834274291992188,2.414112086543638,212.26770660560578,13.834274291992188,-inf
1048596,12,8,4,32,4,2,100,XSICFENE Index  (R1),0.01,2083.527587890625,52.904970279239535,8254975.574543864,2083.527587890625,-inf
1048596,12,8,4,32,4,2,100,XSICFENE Index  (R1),0.001,1953.8758544921875,48.52799717861453,4994939.923132956,1953.8758544921875,-inf
1048596,12,8,4,32,4,2,100,XSICNEFE Index  (R2),0.01,99.66334533691406,28.132045133270086,11512.062041224446,99.66334533691406,-inf
1048596,12,8,4,32,4,2,100,XSICNEFE Index  (R2),0.001,145.35739135742188,39.242249025661664,38741.59340322204,145.35739135742188,-inf
1048596,12,8,4,32,4,2,100,XSICUENE Index  (R1),0.01,61.41204833984375,10.643096432554339,5868.342659754679,61.41204833984375,-inf
1048596,12,8,4,32,4,2,100,XSICUENE Index  (R1),0.001,27.212890625,4.748808903416441,1024.3046726007015,27.212890625,-inf
1048596,12,8,4,32,4,3,50,XSICFENE Index  (R1),0.01,2952.6629028320312,74.28604147633243,11312028.041542605,2952.6629028320312,-inf
1048596,12,8,4,32,4,3,50,XSICFENE Index  (R1),0.001,1339.7281494140625,32.06589666483525,2333501.4091771245,1339.7281494140625,-inf
1048596,12,8,4,32,4,3,50,XSICNEFE Index  (R2),0.01,73.79256439208984,20.519100690519686,5660.421521182405,73.79256439208984,-inf
1048596,12,8,4,32,4,3,50,XSICNEFE Index  (R2),0.001,52.78257751464844,13.960988455107808,6005.045056900941,52.78257751464844,-inf
1048596,12,8,4,32,4,3,50,XSICUENE Index  (R1),0.01,8.3486328125,1.4638354125882358,168.31361235491931,8.3486328125,-inf
1048596,12,8,4,32,4,3,50,XSICUENE Index  (R1),0.001,40.68797302246094,7.074584408803957,2795.3657541247085,40.68797302246094,-inf
1048596,12,8,4,32,4,3,100,XSICFENE Index  (R1),0.01,2515.473876953125,64.08752383100597,9095673.833696008,2515.473876953125,-inf
1048596,12,8,4,32,4,3,100,XSICFENE Index  (R1),0.001,2633.912353515625,64.2973832296924,8152477.995679021,2633.912353515625,-inf
1048596,12,8,4,32,4,3,100,XSICNEFE Index  (R2),0.01,270.8167037963867,75.93442889475389,103712.25939554558,270.8167037963867,-inf
1048596,12,8,4,32,4,3,100,XSICNEFE Index  (R2),0.001,132.73572540283203,37.75354438047947,27399.96150037856,132.73572540283203,-inf
1048596,12,8,4,32,4,3,100,XSICUENE Index  (R1),0.01,68.26544189453125,11.949957752774232,5641.043236261234,68.26544189453125,-inf
1048596,12,8,4,32,4,3,100,XSICUENE Index  (R1),0.001,39.404563903808594,6.900934316819513,2298.1588961707894,39.404563903808594,-inf
1048596,12,8,4,64,2,2,50,XSICFENE Index  (R1),0.01,1224.773193359375,27.50580221983946,1763216.2153252363,1224.773193359375,-inf
1048596,12,8,4,64,2,2,50,XSICFENE Index  (R1),0.001,1565.687744140625,39.01748930017047,3547814.512203932,1565.687744140625,-inf
1048596,12,8,4,64,2,2,50,XSICNEFE Index  (R2),0.01,150.6822509765625,39.32073484014534,62601.81278959848,150.6822509765625,-inf
1048596,12,8,4,64,2,2,50,XSICNEFE Index  (R2),0.001,237.11724853515625,66.25736528854968,76055.04936195351,237.11724853515625,-inf
1048596,12,8,4,64,2,2,50,XSICUENE Index  (R1),0.01,60.456451416015625,10.555152374594739,3942.4784779343754,60.456451416015625,-inf
1048596,12,8,4,64,2,2,50,XSICUENE Index  (R1),0.001,46.16075134277344,8.03370490326233,2672.565582365729,46.16075134277344,-inf
1048596,12,8,4,64,2,2,100,XSICFENE Index  (R1),0.01,1567.941650390625,41.125608935611034,4789682.230681062,1567.941650390625,-inf
1048596,12,8,4,64,2,2,100,XSICFENE Index  (R1),0.001,1763.451904296875,42.81273800406358,3893904.051073581,1763.451904296875,-inf
1048596,12,8,4,64,2,2,100,XSICNEFE Index  (R2),0.01,129.04335021972656,34.70500746358543,29285.434390380047,129.04335021972656,-inf
1048596,12,8,4,64,2,2,100,XSICNEFE Index  (R2),0.001,237.5989227294922,67.76519320461486,94063.85984829161,237.5989227294922,-inf
1048596,12,8,4,64,2,2,100,XSICUENE Index  (R1),0.01,32.22754669189453,5.641206225579779,2537.1730262108613,32.22754669189453,-inf
1048596,12,8,4,64,2,2,100,XSICUENE Index  (R1),0.001,38.92955017089844,6.807952450581026,2034.222324079834,38.92955017089844,-inf
1048596,12,8,4,64,2,3,50,XSICFENE Index  (R1),0.01,1988.4171142578125,50.99005317467263,5782440.449689209,1988.4171142578125,-inf
1048596,12,8,4,64,2,3,50,XSICFENE Index  (R1),0.001,1386.3411865234375,34.001919828254614,2889189.943132341,1386.3411865234375,-inf
1048596,12,8,4,64,2,3,50,XSICNEFE Index  (R2),0.01,52.51495361328125,14.559881915200371,3274.398377723526,52.51495361328125,-inf
1048596,12,8,4,64,2,3,50,XSICNEFE Index  (R2),0.001,140.02760314941406,39.894864218734774,25225.5838152403,140.02760314941406,-inf
1048596,12,8,4,64,2,3,50,XSICUENE Index  (R1),0.01,21.85723876953125,3.807417117052312,543.6911188755184,21.85723876953125,-inf
1048596,12,8,4,64,2,3,50,XSICUENE Index  (R1),0.001,45.88719940185547,7.981337159256471,3645.3214055153076,45.88719940185547,-inf
1048596,12,8,4,64,2,3,100,XSICFENE Index  (R1),0.01,1414.2454833984375,36.65695469440041,3188955.462952435,1414.2454833984375,-inf
1048596,12,8,4,64,2,3,100,XSICFENE Index  (R1),0.001,1917.072509765625,45.572473121735925,3918225.525453329,1917.072509765625,-inf
1048596,12,8,4,64,2,3,100,XSICNEFE Index  (R2),0.01,270.41199493408203,77.15390442597581,93384.5563469783,270.41199493408203,-inf
1048596,12,8,4,64,2,3,100,XSICNEFE Index  (R2),0.001,303.84256744384766,87.12059237797553,111510.96925165248,303.84256744384766,-inf
1048596,12,8,4,64,2,3,100,XSICUENE Index  (R1),0.01,26.93768310546875,4.733840868585584,2042.8587981499732,26.93768310546875,-inf
1048596,12,8,4,64,2,3,100,XSICUENE Index  (R1),0.001,65.29515838623047,11.416931398105401,5062.746796545805,65.29515838623047,-inf
1048596,12,8,4,64,4,2,50,XSICFENE Index  (R1),0.01,1622.9849853515625,38.37918222795834,3698824.9425646663,1622.9849853515625,-inf
1048596,12,8,4,64,4,2,50,XSICFENE Index  (R1),0.001,1636.4098510742188,40.71199825296763,3491618.601555541,1636.4098510742188,-inf
1048596,12,8,4,64,4,2,50,XSICNEFE Index  (R2),0.01,139.13591766357422,36.21164121550525,55528.4095831404,139.13591766357422,-inf
1048596,12,8,4,64,4,2,50,XSICNEFE Index  (R2),0.001,129.22329711914062,36.63577555743461,30997.56237311475,129.22329711914062,-inf
1048596,12,8,4,64,4,2,50,XSICUENE Index  (R1),0.01,52.572540283203125,9.13304953535947,4292.8690015506,52.572540283203125,-inf
1048596,12,8,4,64,4,2,50,XSICUENE Index  (R1),0.001,41.871986389160156,7.289548959849885,3277.3850735866,41.871986389160156,-inf
1048596,12,8,4,64,4,2,100,XSICFENE Index  (R1),0.01,2127.42236328125,53.85419258389685,6826648.746917248,2127.42236328125,-inf
1048596,12,8,4,64,4,2,100,XSICFENE Index  (R1),0.001,2014.8623046875,49.402446461615256,5000266.07988596,2014.8623046875,-inf
1048596,12,8,4,64,4,2,100,XSICNEFE Index  (R2),0.01,208.4366226196289,56.38424787533211,63728.01612443966,208.4366226196289,-inf
1048596,12,8,4,64,4,2,100,XSICNEFE Index  (R2),0.001,180.69114685058594,51.761921232921516,50043.200861246325,180.69114685058594,-inf
1048596,12,8,4,64,4,2,100,XSICUENE Index  (R1),0.01,51.84443664550781,9.103016819783331,4271.095678248443,51.84443664550781,-inf
1048596,12,8,4,64,4,2,100,XSICUENE Index  (R1),0.001,36.623451232910156,6.387641830691926,2301.520117100561,36.623451232910156,-inf
1048596,12,8,4,64,4,3,50,XSICFENE Index  (R1),0.01,1999.92236328125,46.85912171665641,5636062.773246169,1999.92236328125,-inf
1048596,12,8,4,64,4,3,50,XSICFENE Index  (R1),0.001,1589.954833984375,38.99206187293821,3017748.559278846,1589.954833984375,-inf
1048596,12,8,4,64,4,3,50,XSICNEFE Index  (R2),0.01,89.70469665527344,25.076491437514342,8338.29819538584,89.70469665527344,-inf
1048596,12,8,4,64,4,3,50,XSICNEFE Index  (R2),0.001,127.01068878173828,35.84892893240148,22799.481746589066,127.01068878173828,-inf
1048596,12,8,4,64,4,3,50,XSICUENE Index  (R1),0.01,41.626861572265625,7.196497520870101,3850.2442127857357,41.626861572265625,-inf
1048596,12,8,4,64,4,3,50,XSICUENE Index  (R1),0.001,38.582069396972656,6.724394952447109,2254.46356094745,38.582069396972656,-inf
1048596,12,8,4,64,4,3,100,XSICFENE Index  (R1),0.01,3068.9429931640625,74.95370307046747,11509772.098503888,3068.9429931640625,-inf
1048596,12,8,4,64,4,3,100,XSICFENE Index  (R1),0.001,2239.7051391601562,53.14672425857239,5240095.294496074,2239.7051391601562,-inf
1048596,12,8,4,64,4,3,100,XSICNEFE Index  (R2),0.01,181.01283264160156,48.40503616784787,58428.54560942808,181.01283264160156,-inf
1048596,12,8,4,64,4,3,100,XSICNEFE Index  (R2),0.001,290.17254638671875,82.29081744484901,101438.28859709017,290.17254638671875,-inf
1048596,12,8,4,64,4,3,100,XSICUENE Index  (R1),0.01,14.67462158203125,2.5699769767601635,256.313535137102,14.67462158203125,-inf
1048596,12,8,4,64,4,3,100,XSICUENE Index  (R1),0.001,32.542083740234375,5.680337009690776,1113.5443654097617,32.542083740234375,-inf
