epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,2,,9532.0224609375,1.8988093137741089,9532.0224609375,0.9740456938743591,9532.0224609375
0,2,12294.79296875,,,,,
1,5,,4804.8642578125,0.9571442604064941,4804.8642578125,1.8356215953826904,4804.8642578125
1,5,7080.02099609375,,,,,
2,8,,4713.89453125,0.9390228390693665,4713.89453125,0.6390033960342407,4713.89453125
2,8,5864.2265625,,,,,
