epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,720.271484375,,,,,
0,11,,,1561.1292724609375,1.4204907417297363,1561.1292724609375,0.8305771946907043,1561.1292724609375
0,11,1175.6368408203125,,,,,,
1,19,,566.0912475585938,,,,,
1,23,,,2013.7166748046875,1.832305669784546,2013.7166748046875,0.9562419652938843,2013.7166748046875
1,23,833.881591796875,,,,,,
2,29,,643.3594360351562,,,,,
2,35,,,1484.7562255859375,1.350998044013977,1484.7562255859375,0.8063257932662964,1484.7562255859375
2,35,845.7074584960938,,,,,,
3,39,,388.61798095703125,,,,,
3,47,,,1359.8631591796875,1.2373563051223755,1359.8631591796875,0.7644239664077759,1359.8631591796875
3,47,866.149169921875,,,,,,
4,49,,666.4342041015625,,,,,
4,59,,753.9117431640625,,,,,
4,59,,,1424.0504150390625,1.2957611083984375,1424.0504150390625,0.7863197326660156,1424.0504150390625
4,59,821.1103515625,,,,,,
5,69,,652.3386840820312,,,,,
5,71,,,1487.4534912109375,1.3534523248672485,1487.4534912109375,0.8071994185447693,1487.4534912109375
5,71,808.2922973632812,,,,,,
6,79,,674.51220703125,,,,,
6,83,,,1624.5609130859375,1.478208065032959,1624.5609130859375,0.8499825596809387,1624.5609130859375
6,83,757.1860961914062,,,,,,
7,89,,874.8695678710938,,,,,
7,95,,,1848.1575927734375,1.6816613674163818,1848.1575927734375,0.9135339856147766,1848.1575927734375
7,95,805.663330078125,,,,,,
8,99,,697.09423828125,,,,,
8,107,,,1772.3624267578125,1.612694501876831,1772.3624267578125,0.8927931189537048,1772.3624267578125
8,107,779.6015625,,,,,,
9,109,,714.3323974609375,,,,,
9,119,,891.7474975585938,,,,,
9,119,,,1866.4046630859375,1.6982645988464355,1866.4046630859375,0.9184116721153259,1866.4046630859375
9,119,730.1298828125,,,,,,
10,129,,580.2850341796875,,,,,
10,131,,,1885.4769287109375,1.7156187295913696,1885.4769287109375,0.9234632849693298,1885.4769287109375
10,131,705.2314453125,,,,,,
11,139,,738.7384643554688,,,,,
