epoch,step,train_loss_epoch,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,3,,0.008247783407568932,104132.8046875,0.010566869750618935,1.7269264459609985,0.004792778752744198
0,3,0.01965586096048355,,,,,
1,7,,0.00702681764960289,52961.89453125,0.009745356626808643,1.775191307067871,0.005892490036785603
1,7,0.013184057548642159,,,,,
2,11,,0.008819355629384518,130897.5703125,0.01088800746947527,1.7440829277038574,0.006633204407989979
2,11,0.012520043179392815,,,,,
3,15,,0.007022073492407799,46962.91796875,0.009729236364364624,1.8205161094665527,0.006471715867519379
3,15,0.012582221068441868,,,,,
4,19,,0.00765198701992631,68955.0625,0.010308724828064442,1.7018396854400635,0.00652871560305357
4,19,0.01247800886631012,,,,,
