epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,2303.14111328125,,,,,
0,10,,,418.54443359375,0.11941353231668472,418.54443359375,0.11268544942140579,418.54443359375
0,10,3501.970947265625,,,,,,
1,19,,1660.9945068359375,,,,,
1,21,,,789.5859375,0.22527416050434113,789.5859375,0.20246867835521698,789.5859375
1,21,2152.77685546875,,,,,,
2,29,,1300.693359375,,,,,
2,32,,,2141.32666015625,0.610934853553772,2141.32666015625,0.4679817259311676,2141.32666015625
2,32,1412.5294189453125,,,,,,
3,39,,1051.204833984375,,,,,
3,43,,,1006.513671875,0.287165105342865,1006.513671875,0.2511100769042969,1006.513671875
3,43,1228.135986328125,,,,,,
4,49,,1440.874267578125,,,,,
4,54,,,1857.169921875,0.5298630595207214,1857.169921875,0.4188867211341858,1857.169921875
4,54,1219.634033203125,,,,,,
5,59,,1007.5792236328125,,,,,
5,65,,,2493.99462890625,0.7115533947944641,2493.99462890625,0.5248308181762695,2493.99462890625
5,65,1121.2861328125,,,,,,
6,69,,1057.0087890625,,,,,
6,76,,,2758.91259765625,0.7871362566947937,2758.91259765625,0.5648351907730103,2758.91259765625
6,76,934.791748046875,,,,,,
7,79,,1002.6798095703125,,,,,
7,87,,,1059.34716796875,0.3022388517856598,1059.34716796875,0.26256081461906433,1059.34716796875
7,87,1028.622314453125,,,,,,
8,89,,981.470458984375,,,,,
8,98,,,2073.0673828125,0.5914600491523743,2073.0673828125,0.4564685821533203,2073.0673828125
8,98,1007.0198974609375,,,,,,
9,99,,1058.2528076171875,,,,,
9,109,,602.8580322265625,,,,,
9,109,,,2536.66455078125,0.7237274050712585,2536.66455078125,0.5314242839813232,2536.66455078125
9,109,982.5689697265625,,,,,,
10,119,,570.4032592773438,,,,,
10,120,,,4229.54150390625,1.206716537475586,4229.54150390625,0.7526181936264038,4229.54150390625
10,120,715.1166381835938,,,,,,
11,129,,474.8729248046875,,,,,
11,131,,,6057.1201171875,1.7281370162963867,6057.1201171875,0.9270780682563782,6057.1201171875
11,131,782.1875,,,,,,
12,139,,620.3963012695312,,,,,
12,142,,,4447.58740234375,1.2689265012741089,4447.58740234375,0.7763566970825195,4447.58740234375
12,142,638.6656494140625,,,,,,
13,149,,452.4735107421875,,,,,
13,153,,,4855.8642578125,1.3854106664657593,4855.8642578125,0.8184594511985779,4855.8642578125
13,153,524.5325927734375,,,,,,
14,159,,431.1130065917969,,,,,
14,164,,,4656.42236328125,1.3285084962844849,4656.42236328125,0.7982605695724487,4656.42236328125
14,164,553.37451171875,,,,,,
15,169,,596.0260009765625,,,,,
15,175,,,4504.189453125,1.2850754261016846,4504.189453125,0.7823719382286072,4504.189453125
15,175,457.8603210449219,,,,,,
16,179,,386.4974365234375,,,,,
16,186,,,4167.1904296875,1.188927412033081,4167.1904296875,0.7456597089767456,4167.1904296875
16,186,421.8758544921875,,,,,,
17,189,,602.056884765625,,,,,
17,197,,,3732.357421875,1.064866542816162,3732.357421875,0.6948860883712769,3732.357421875
17,197,456.3119201660156,,,,,,
18,199,,752.9562377929688,,,,,
18,208,,,4368.22265625,1.2462831735610962,4368.22265625,0.7678216099739075,4368.22265625
18,208,485.2978515625,,,,,,
19,209,,479.0800476074219,,,,,
19,219,,370.6147766113281,,,,,
19,219,,,3147.53662109375,0.8980132937431335,3147.53662109375,0.619744062423706,3147.53662109375
19,219,385.0279541015625,,,,,,
20,229,,426.6609802246094,,,,,
20,230,,,3630.49365234375,1.0358041524887085,3630.49365234375,0.6823919415473938,3630.49365234375
20,230,376.7359313964844,,,,,,
21,239,,291.42437744140625,,,,,
21,241,,,4083.9453125,1.1651769876480103,4083.9453125,0.7362475991249084,4083.9453125
21,241,308.626220703125,,,,,,
22,249,,283.74822998046875,,,,,
22,252,,,3832.02099609375,1.0933012962341309,3832.02099609375,0.7068831324577332,3832.02099609375
22,252,373.4262390136719,,,,,,
23,259,,466.46282958984375,,,,,
23,263,,,3360.54248046875,0.9587852954864502,3360.54248046875,0.6480938196182251,3360.54248046875
23,263,365.08160400390625,,,,,,
24,269,,266.97601318359375,,,,,
24,274,,,3230.955078125,0.9218131303787231,3230.955078125,0.6309870481491089,3230.955078125
24,274,362.7626953125,,,,,,
25,279,,375.0152893066406,,,,,
25,285,,,3266.13232421875,0.931849479675293,3266.13232421875,0.635673463344574,3266.13232421875
25,285,321.89312744140625,,,,,,
26,289,,210.31932067871094,,,,,
26,296,,,3381.6650390625,0.9648116827011108,3381.6650390625,0.6508418321609497,3381.6650390625
26,296,317.3847351074219,,,,,,
27,299,,192.32015991210938,,,,,
27,307,,,3682.8134765625,1.0507314205169678,3682.8134765625,0.6888390183448792,3682.8134765625
27,307,281.9580993652344,,,,,,
28,309,,466.0879821777344,,,,,
28,318,,,3173.30126953125,0.9053641557693481,3173.30126953125,0.6232362985610962,3173.30126953125
28,318,303.16131591796875,,,,,,
29,319,,344.6094970703125,,,,,
29,329,,304.3812561035156,,,,,
29,329,,,3109.69091796875,0.8872156739234924,3109.69091796875,0.6145821809768677,3109.69091796875
29,329,299.4192199707031,,,,,,
30,339,,274.576416015625,,,,,
30,340,,,3385.1513671875,0.9658063650131226,3385.1513671875,0.6512942910194397,3385.1513671875
30,340,282.9476013183594,,,,,,
31,349,,221.16595458984375,,,,,
31,351,,,3180.1708984375,0.9073240756988525,3180.1708984375,0.6241644024848938,3180.1708984375
31,351,275.4008483886719,,,,,,
32,359,,264.2550048828125,,,,,
32,362,,,3197.4736328125,0.9122606515884399,3197.4736328125,0.6264965534210205,3197.4736328125
32,362,279.652587890625,,,,,,
33,369,,267.2843322753906,,,,,
33,373,,,3015.68505859375,0.8603951930999756,3015.68505859375,0.6015917658805847,3015.68505859375
33,373,263.3714294433594,,,,,,
34,379,,346.3326416015625,,,,,
34,384,,,3281.671875,0.9362829923629761,3281.671875,0.6377334594726562,3281.671875
34,384,253.42440795898438,,,,,,
35,389,,206.0108184814453,,,,,
35,395,,,2988.6416015625,0.8526794910430908,2988.6416015625,0.5978095531463623,2988.6416015625
35,395,245.98284912109375,,,,,,
36,399,,164.7564239501953,,,,,
36,406,,,2803.462890625,0.7998467683792114,2803.462890625,0.5713503956794739,2803.462890625
36,406,225.5185546875,,,,,,
37,409,,354.29345703125,,,,,
37,417,,,2861.33935546875,0.816359281539917,2861.33935546875,0.5797266364097595,2861.33935546875
37,417,246.19326782226562,,,,,,
38,419,,269.41485595703125,,,,,
38,428,,,3059.85498046875,0.8729971647262573,3059.85498046875,0.6077256798744202,3059.85498046875
38,428,249.82122802734375,,,,,,
39,429,,259.28631591796875,,,,,
39,439,,109.68196105957031,,,,,
39,439,,,2898.1787109375,0.8268698453903198,2898.1787109375,0.58500736951828,2898.1787109375
39,439,235.6298828125,,,,,,
40,449,,175.849853515625,,,,,
40,450,,,2865.416015625,0.817522406578064,2865.416015625,0.580312967300415,2865.416015625
40,450,233.92503356933594,,,,,,
41,459,,218.23960876464844,,,,,
41,461,,,2856.201171875,0.814893364906311,2856.201171875,0.5789870023727417,2856.201171875
41,461,231.19996643066406,,,,,,
42,469,,210.7501678466797,,,,,
42,472,,,2810.62109375,0.8018890619277954,2810.62109375,0.5723917484283447,2810.62109375
42,472,234.54135131835938,,,,,,
43,479,,200.32843017578125,,,,,
43,483,,,2920.625,0.8332738876342773,2920.625,0.5882056951522827,2920.625
43,483,223.09471130371094,,,,,,
44,489,,265.2313537597656,,,,,
44,494,,,2944.7333984375,0.8401522040367126,2944.7333984375,0.5916247367858887,2944.7333984375
44,494,257.92169189453125,,,,,,
45,499,,320.20721435546875,,,,,
45,505,,,2810.7119140625,0.8019149303436279,2810.7119140625,0.5724049210548401,2810.7119140625
45,505,224.71807861328125,,,,,,
46,509,,251.69235229492188,,,,,
46,516,,,2826.3486328125,0.8063762187957764,2826.3486328125,0.5746743679046631,2826.3486328125
46,516,236.08204650878906,,,,,,
47,519,,247.83645629882812,,,,,
47,527,,,2720.8505859375,0.7762768864631653,2720.8505859375,0.5592215061187744,2720.8505859375
47,527,241.86216735839844,,,,,,
48,529,,232.6350555419922,,,,,
48,538,,,2700.0771484375,0.7703500986099243,2700.0771484375,0.5561391711235046,2700.0771484375
48,538,223.66046142578125,,,,,,
49,539,,194.92752075195312,,,,,
49,549,,235.30264282226562,,,,,
49,549,,,2696.07666015625,0.7692087292671204,2696.07666015625,0.5555440783500671,2696.07666015625
49,549,218.63990783691406,,,,,,
