epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,1644.544921875,,,,,
0,10,,,2256.47314453125,0.4910714030265808,2256.47314453125,0.6508875489234924,2256.47314453125
0,10,2190.834716796875,,,,,,
1,19,,777.7026977539062,,,,,
1,21,,,2670.164306640625,0.5811021327972412,2670.164306640625,0.819089412689209,2670.164306640625
1,21,1363.2999267578125,,,,,,
2,29,,887.7421875,,,,,
2,32,,,814.76513671875,0.1773155927658081,814.76513671875,0.19456534087657928,814.76513671875
2,32,961.734375,,,,,,
3,39,,892.67724609375,,,,,
3,43,,,1451.06396484375,0.31579193472862244,1451.06396484375,0.37500348687171936,1451.06396484375
3,43,780.9376831054688,,,,,,
4,49,,386.97650146484375,,,,,
4,54,,,1574.888916015625,0.34273970127105713,1574.888916015625,0.41362202167510986,1574.888916015625
4,54,488.11895751953125,,,,,,
5,59,,464.9740295410156,,,,,
5,65,,,1947.64453125,0.42386171221733093,1947.64453125,0.5378483533859253,1947.64453125
5,65,534.4259643554688,,,,,,
6,69,,425.1817321777344,,,,,
6,76,,,2129.09228515625,0.4633497893810272,2129.09228515625,0.603064775466919,2129.09228515625
6,76,421.3335876464844,,,,,,
7,79,,284.6596984863281,,,,,
7,87,,,1637.614501953125,0.3563905358314514,1637.614501953125,0.4336681365966797,1637.614501953125
7,87,364.10638427734375,,,,,,
8,89,,501.7887268066406,,,,,
8,98,,,1635.178466796875,0.3558603823184967,1635.178466796875,0.43288344144821167,1635.178466796875
8,98,403.1167297363281,,,,,,
9,99,,319.3020324707031,,,,,
9,109,,369.70635986328125,,,,,
9,109,,,1670.712890625,0.3635936677455902,1670.712890625,0.44438067078590393,1670.712890625
9,109,320.30584716796875,,,,,,
10,119,,331.82415771484375,,,,,
10,120,,,1592.77734375,0.346632719039917,1592.77734375,0.4193051755428314,1592.77734375
10,120,300.42449951171875,,,,,,
11,129,,243.56227111816406,,,,,
11,131,,,1690.44091796875,0.367887020111084,1690.44091796875,0.4508107602596283,1690.44091796875
11,131,327.58184814453125,,,,,,
