epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,88.68406677246094,,,,,
0,11,,,35.3779296875,0.0615268349647522,35.3779296875,0.05969054996967316,35.3779296875
0,11,104.2409896850586,,,,,,
1,19,,34.8365478515625,,,,,
1,23,,,47.755126953125,0.08305239677429199,47.755126953125,0.08665066957473755,47.755126953125
1,23,54.214298248291016,,,,,,
2,29,,74.69320678710938,,,,,
2,35,,,83.11541748046875,0.14454855024814606,83.11541748046875,0.15580958127975464,83.11541748046875
2,35,50.11692428588867,,,,,,
3,39,,39.41938018798828,,,,,
3,47,,,31.308837890625,0.054450154304504395,31.308837890625,0.05597405135631561,31.308837890625
3,47,40.493412017822266,,,,,,
4,49,,28.533599853515625,,,,,
4,59,,40.3795280456543,,,,,
4,59,,,106.5469970703125,0.1852991282939911,106.5469970703125,0.2042200267314911,106.5469970703125
4,59,37.43342590332031,,,,,,
5,69,,32.234779357910156,,,,,
5,71,,,64.117431640625,0.1115085780620575,64.117431640625,0.11809275299310684,64.117431640625
5,71,37.60953140258789,,,,,,
6,79,,22.82250213623047,,,,,
6,83,,,101.83856201171875,0.17711053788661957,101.83856201171875,0.1943184733390808,101.83856201171875
6,83,37.74766159057617,,,,,,
7,89,,33.49378204345703,,,,,
7,95,,,73.54168701171875,0.12789858877658844,73.54168701171875,0.1366363912820816,73.54168701171875
7,95,32.49977493286133,,,,,,
8,99,,25.220422744750977,,,,,
8,107,,,86.88339233398438,0.15110154449939728,86.88339233398438,0.16345036029815674,86.88339233398438
8,107,32.35355758666992,,,,,,
9,109,,23.408245086669922,,,,,
9,119,,25.422372817993164,,,,,
9,119,,,87.46875,0.15211956202983856,87.46875,0.16464221477508545,87.46875
9,119,29.414941787719727,,,,,,
10,129,,25.91057777404785,,,,,
10,131,,,93.84176635742188,0.16320307552814484,93.84176635742188,0.17770399153232574,93.84176635742188
10,131,31.628034591674805,,,,,,
11,139,,30.274351119995117,,,,,
11,143,,,72.345947265625,0.12581904232501984,72.345947265625,0.13426563143730164,72.345947265625
11,143,28.708044052124023,,,,,,
12,149,,53.80451965332031,,,,,
12,155,,,87.8236083984375,0.15273670852184296,87.8236083984375,0.16536539793014526,87.8236083984375
12,155,34.88656234741211,,,,,,
13,159,,35.52204895019531,,,,,
13,167,,,90.96868896484375,0.15820641815662384,90.96868896484375,0.1717960387468338,90.96868896484375
13,167,29.785171508789062,,,,,,
14,169,,21.385726928710938,,,,,
14,179,,32.76666259765625,,,,,
14,179,,,91.82235717773438,0.15969105064868927,91.82235717773438,0.17354810237884521,91.82235717773438
14,179,26.21143341064453,,,,,,
15,189,,27.27333641052246,,,,,
15,191,,,102.21774291992188,0.1777699887752533,102.21774291992188,0.19511257112026215,102.21774291992188
15,191,26.188316345214844,,,,,,
16,199,,28.428245544433594,,,,,
16,203,,,90.4686279296875,0.1573367416858673,90.4686279296875,0.1707710176706314,90.4686279296875
16,203,25.71697998046875,,,,,,
17,209,,27.134042739868164,,,,,
17,215,,,100.95111083984375,0.1755671501159668,100.95111083984375,0.19246217608451843,100.95111083984375
17,215,25.905710220336914,,,,,,
18,219,,30.95407485961914,,,,,
18,227,,,82.67214965820312,0.14377765357494354,82.67214965820312,0.1549142450094223,82.67214965820312
