Learning rate,Epoch Number,Hidden sizes,lstm layers,dropout,attention heads,batch size,gradient clipping,target column
0.1,30,8,1,0.1,2,128,1,SAW
0.1,30,8,3,0.5,2,128,1,SE
0.00001,30,8,3,0.1,2,16,1,NAW
0.001,75,64,2,0.3,4,64,0.1,FE
0.001,75,64,2,0.3,4,64,0.1,IND
0.001,75,64,2,0.3,4,64,0.1,NAE
0.001,75,64,2,0.3,4,64,0.1,NE
0.001,75,64,2,0.3,4,64,0.1,SAE
0.001,75,64,2,0.3,4,64,0.1,SAW
0.001,75,64,2,0.3,4,64,0.1,SE
0.001,75,64,2,0.3,4,64,0.1,NAW
0.001,75,64,2,0.3,4,64,0.1,ds9
