epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,56.7543830871582,,,,,
0,10,,,39.94775390625,0.07020694762468338,39.94775390625,0.07276111841201782,39.94775390625
0,10,100.68095397949219,,,,,,
1,19,,44.37032699584961,,,,,
1,21,,,111.2286376953125,0.19548091292381287,111.2286376953125,0.21665707230567932,111.2286376953125
1,21,53.80352783203125,,,,,,
2,29,,37.845848083496094,,,,,
2,32,,,64.39019775390625,0.1131637915968895,64.39019775390625,0.11995083093643188,64.39019775390625
2,32,41.866703033447266,,,,,,
3,39,,50.419673919677734,,,,,
3,43,,,95.79241943359375,0.16835223138332367,95.79241943359375,0.1838259994983673,95.79241943359375
3,43,35.41868591308594,,,,,,
4,49,,34.691925048828125,,,,,
4,54,,,126.3558349609375,0.2220664918422699,126.3558349609375,0.24980291724205017,126.3558349609375
4,54,33.459781646728516,,,,,,
5,59,,19.877975463867188,,,,,
5,65,,,98.985107421875,0.1739632785320282,98.985107421875,0.19053645431995392,98.985107421875
5,65,30.71965789794922,,,,,,
6,69,,40.063453674316406,,,,,
6,76,,,100.60052490234375,0.17680232226848602,100.60052490234375,0.19394752383232117,100.60052490234375
6,76,27.772790908813477,,,,,,
7,79,,34.46399688720703,,,,,
7,87,,,87.24020385742188,0.1533219814300537,87.24020385742188,0.16605167090892792,87.24020385742188
7,87,27.698097229003906,,,,,,
8,89,,25.331111907958984,,,,,
8,98,,,102.997802734375,0.1810154765844345,102.997802734375,0.19902914762496948,102.997802734375
8,98,26.952045440673828,,,,,,
9,99,,24.585756301879883,,,,,
9,109,,20.447595596313477,,,,,
9,109,,,103.0052490234375,0.1810285598039627,103.0052490234375,0.19904497265815735,103.0052490234375
9,109,27.68916130065918,,,,,,
10,119,,33.80207061767578,,,,,
10,120,,,92.07559204101562,0.16182002425193787,92.07559204101562,0.17606547474861145,92.07559204101562
10,120,25.89215660095215,,,,,,
11,129,,33.04606246948242,,,,,
11,131,,,110.59188842773438,0.1943618357181549,110.59188842773438,0.21528327465057373,110.59188842773438
11,131,28.055747985839844,,,,,,
12,139,,21.408082962036133,,,,,
12,142,,,94.27008056640625,0.1656767725944519,94.27008056640625,0.18064074218273163,94.27008056640625
12,142,24.999113082885742,,,,,,
13,149,,30.03144645690918,,,,,
13,153,,,99.731689453125,0.17527537047863007,99.731689453125,0.19211159646511078,99.731689453125
13,153,26.557415008544922,,,,,,
14,159,,17.157995223999023,,,,,
14,164,,,103.84527587890625,0.18250487744808197,103.84527587890625,0.20083120465278625,103.84527587890625
14,164,24.654399871826172,,,,,,
15,169,,27.62066650390625,,,,,
15,175,,,102.9296875,0.18089576065540314,102.9296875,0.19888444244861603,102.9296875
15,175,24.668882369995117,,,,,,
16,179,,37.14678192138672,,,,,
16,186,,,97.90228271484375,0.17206025123596191,97.90228271484375,0.1882559359073639,97.90228271484375
16,186,25.89667320251465,,,,,,
17,189,,16.147205352783203,,,,,
17,197,,,107.4881591796875,0.18890713155269623,107.4881591796875,0.20861120522022247,107.4881591796875
17,197,23.28326416015625,,,,,,
18,199,,14.914461135864258,,,,,
18,208,,,93.48068237304688,0.1642894297838211,93.48068237304688,0.17899273335933685,93.48068237304688
18,208,25.39507484436035,,,,,,
19,209,,27.0865535736084,,,,,
19,219,,26.935070037841797,,,,,
19,219,,,102.07952880859375,0.17940163612365723,102.07952880859375,0.1970798671245575,102.07952880859375
19,219,25.692659378051758,,,,,,
20,229,,28.015405654907227,,,,,
20,230,,,94.1474609375,0.16546127200126648,94.1474609375,0.18038460612297058,94.1474609375
20,230,24.939355850219727,,,,,,
21,239,,10.221086502075195,,,,,
21,241,,,96.1014404296875,0.16889531910419464,96.1014404296875,0.1844736933708191,96.1014404296875
21,241,23.919878005981445,,,,,,
22,249,,27.901519775390625,,,,,
22,252,,,90.109130859375,0.15836402773857117,90.109130859375,0.17198190093040466,90.109130859375
22,252,23.86085319519043,,,,,,
23,259,,24.7807674407959,,,,,
23,263,,,91.66534423828125,0.16109901666641235,91.66534423828125,0.17521227896213531,91.66534423828125
23,263,22.84980010986328,,,,,,
24,269,,18.376314163208008,,,,,
24,274,,,92.73870849609375,0.1629854291677475,92.73870849609375,0.17744599282741547,92.73870849609375
24,274,22.86172103881836,,,,,,
25,279,,21.87198257446289,,,,,
25,285,,,98.04605102539062,0.1723129153251648,98.04605102539062,0.1885584443807602,98.04605102539062
25,285,23.823711395263672,,,,,,
26,289,,25.0280704498291,,,,,
26,296,,,82.1102294921875,0.14430619776248932,82.1102294921875,0.15552803874015808,82.1102294921875
26,296,23.7288875579834,,,,,,
27,299,,14.165742874145508,,,,,
27,307,,,80.46893310546875,0.14142167568206787,80.46893310546875,0.15218263864517212,80.46893310546875
27,307,21.69285011291504,,,,,,
28,309,,21.76922607421875,,,,,
28,318,,,69.53857421875,0.12221190333366394,69.53857421875,0.13016581535339355,69.53857421875
28,318,20.918546676635742,,,,,,
29,319,,26.563390731811523,,,,,
29,329,,13.454566955566406,,,,,
29,329,,,62.545074462890625,0.10992104560136795,62.545074462890625,0.11631370335817337,62.545074462890625
29,329,23.066211700439453,,,,,,
30,339,,24.615848541259766,,,,,
30,340,,,49.27374267578125,0.08659708499908447,49.27374267578125,0.09051630645990372,49.27374267578125
30,340,21.699329376220703,,,,,,
31,349,,24.64805793762207,,,,,
31,351,,,31.5576171875,0.055461540818214417,31.5576171875,0.057043399661779404,31.5576171875
31,351,22.087099075317383,,,,,,
32,359,,31.37354850769043,,,,,
