epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,328.1458740234375,,,,,
0,10,,,85.7486572265625,0.21930602192878723,85.7486572265625,0.24631524085998535,85.7486572265625
0,10,364.68109130859375,,,,,,
1,19,,170.85348510742188,,,,,
1,21,,,135.2508544921875,0.34591010212898254,135.2508544921875,0.29490482807159424,135.2508544921875
1,21,161.31044006347656,,,,,,
2,29,,251.5284881591797,,,,,
2,32,,,323.26226806640625,0.8267577290534973,323.26226806640625,0.5849512815475464,323.26226806640625
2,32,170.72227478027344,,,,,,
3,39,,145.64285278320312,,,,,
3,43,,,126.95068359375,0.3246820569038391,126.95068359375,0.2793346047401428,126.95068359375
3,43,146.63653564453125,,,,,,
4,49,,130.13417053222656,,,,,
4,54,,,169.5986328125,0.4337560832500458,169.5986328125,0.3564499318599701,169.5986328125
4,54,146.65257263183594,,,,,,
5,59,,139.0811004638672,,,,,
5,65,,,170.121337890625,0.4350929260253906,170.121337890625,0.35735222697257996,170.121337890625
5,65,111.6335220336914,,,,,,
6,69,,79.16466522216797,,,,,
6,76,,,188.6639404296875,0.48251646757125854,188.6639404296875,0.3887317478656769,188.6639404296875
6,76,103.9534683227539,,,,,,
7,79,,88.37670135498047,,,,,
7,87,,,205.68115234375,0.5260387659072876,205.68115234375,0.4164930284023285,205.68115234375
7,87,98.929931640625,,,,,,
8,89,,96.61061096191406,,,,,
8,98,,,201.19775390625,0.514572262763977,201.19775390625,0.4092721939086914,201.19775390625
8,98,91.92491912841797,,,,,,
9,99,,74.68731689453125,,,,,
9,109,,64.13479614257812,,,,,
9,109,,,171.355224609375,0.4382486641407013,171.355224609375,0.359478235244751,171.355224609375
9,109,91.09225463867188,,,,,,
10,119,,110.30773162841797,,,,,
10,120,,,206.284912109375,0.5275828838348389,206.284912109375,0.4174604117870331,206.284912109375
10,120,103.25387573242188,,,,,,
11,129,,73.6200942993164,,,,,
11,131,,,361.188232421875,0.9237550497055054,361.188232421875,0.6318963170051575,361.188232421875
11,131,105.0675277709961,,,,,,
12,139,,100.5322265625,,,,,
12,142,,,308.03515625,0.7878137230873108,308.03515625,0.5651838779449463,308.03515625
12,142,87.15343475341797,,,,,,
13,149,,89.74005126953125,,,,,
13,153,,,307.737548828125,0.787052571773529,307.737548828125,0.5647920370101929,307.737548828125
13,153,84.61878204345703,,,,,,
14,159,,75.10478973388672,,,,,
14,164,,,297.4693603515625,0.7607911825180054,297.4693603515625,0.5511399507522583,297.4693603515625
14,164,83.11650085449219,,,,,,
15,169,,79.09146118164062,,,,,
15,175,,,444.81671142578125,1.1376386880874634,444.81671142578125,0.7251559495925903,444.81671142578125
15,175,75.23684692382812,,,,,,
16,179,,52.74681854248047,,,,,
16,186,,,376.30377197265625,0.9624137282371521,376.30377197265625,0.649749755859375,376.30377197265625
16,186,72.53060150146484,,,,,,
17,189,,97.18550109863281,,,,,
17,197,,,415.718017578125,1.0632174015045166,415.718017578125,0.6941834688186646,415.718017578125
17,197,63.5460090637207,,,,,,
18,199,,51.808807373046875,,,,,
18,208,,,419.519287109375,1.072939395904541,419.519287109375,0.6983146667480469,419.519287109375
18,208,54.07173156738281,,,,,,
19,209,,35.92396545410156,,,,,
19,219,,45.02386474609375,,,,,
19,219,,,542.2288818359375,1.3867746591567993,542.2288818359375,0.8189352750778198,542.2288818359375
19,219,48.904518127441406,,,,,,
20,229,,50.01790237426758,,,,,
20,230,,,488.071044921875,1.2482635974884033,488.071044921875,0.7685728073120117,488.071044921875
20,230,45.951927185058594,,,,,,
21,239,,49.81835174560547,,,,,
21,241,,,484.51763916015625,1.23917555809021,484.51763916015625,0.765117883682251,484.51763916015625
21,241,38.076316833496094,,,,,,
22,249,,25.724388122558594,,,,,
