epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,170.6720428466797,,,,,
0,10,,,85.6524658203125,0.219060018658638,85.6524658203125,0.19743496179580688,85.6524658203125
0,10,197.2353057861328,,,,,,
1,19,,154.86370849609375,,,,,
1,21,,,211.9681396484375,0.5421180129051208,211.9681396484375,0.42650893330574036,211.9681396484375
1,21,126.10436248779297,,,,,,
2,29,,87.42288208007812,,,,,
2,32,,,124.79833984375,0.3191773295402527,124.79833984375,0.27525049448013306,124.79833984375
2,32,115.01852416992188,,,,,,
3,39,,79.39956665039062,,,,,
3,43,,,135.7342529296875,0.3471464216709137,135.7342529296875,0.2958029508590698,135.7342529296875
3,43,92.85892486572266,,,,,,
4,49,,91.16551208496094,,,,,
4,54,,,134.8502197265625,0.3448854684829712,134.8502197265625,0.29415977001190186,134.8502197265625
4,54,82.5469970703125,,,,,,
5,59,,123.54855346679688,,,,,
5,65,,,171.609130859375,0.4388980269432068,171.609130859375,0.35991501808166504,171.609130859375
5,65,74.773193359375,,,,,,
6,69,,64.65556335449219,,,,,
6,76,,,165.06298828125,0.4221559762954712,165.06298828125,0.34857869148254395,165.06298828125
6,76,61.51225280761719,,,,,,
7,79,,65.36053466796875,,,,,
7,87,,,222.00830078125,0.5677961707115173,222.00830078125,0.4422439634799957,222.00830078125
7,87,59.07638168334961,,,,,,
8,89,,37.21049118041992,,,,,
8,98,,,226.9427490234375,0.5804162621498108,226.9427490234375,0.4498624801635742,226.9427490234375
8,98,52.20852279663086,,,,,,
9,99,,41.90727615356445,,,,,
9,109,,47.33460235595703,,,,,
9,109,,,121.9442138671875,0.3118777871131897,121.9442138671875,0.2698047459125519,121.9442138671875
9,109,45.84494400024414,,,,,,
10,119,,40.430198669433594,,,,,
10,120,,,180.303466796875,0.4611341953277588,180.303466796875,0.3747330605983734,180.303466796875
10,120,47.851009368896484,,,,,,
11,129,,48.61109924316406,,,,,
11,131,,,166.72021484375,0.42639440298080444,166.72021484375,0.3514634072780609,166.72021484375
11,131,42.09035873413086,,,,,,
12,139,,22.267723083496094,,,,,
12,142,,,98.71084594726562,0.2524574100971222,98.71084594726562,0.224161759018898,98.71084594726562
12,142,38.9921760559082,,,,,,
13,149,,26.406208038330078,,,,,
13,153,,,133.453369140625,0.341312974691391,133.453369140625,0.2915568947792053,133.453369140625
13,153,36.63166427612305,,,,,,
14,159,,36.829620361328125,,,,,
14,164,,,126.455078125,0.32341453433036804,126.455078125,0.2783958911895752,126.455078125
14,164,36.86146545410156,,,,,,
15,169,,37.16307067871094,,,,,
15,175,,,113.08499145507812,0.2892199158668518,113.08499145507812,0.2526799142360687,113.08499145507812
15,175,33.46921920776367,,,,,,
16,179,,39.847347259521484,,,,,
16,186,,,103.76446533203125,0.2653822600841522,103.76446533203125,0.23429358005523682,103.76446533203125
16,186,34.85557174682617,,,,,,
17,189,,30.710716247558594,,,,,
17,197,,,114.57061767578125,0.29301947355270386,114.57061767578125,0.2555752098560333,114.57061767578125
17,197,32.85237503051758,,,,,,
18,199,,39.97176742553711,,,,,
18,208,,,106.61819458007812,0.2726808190345764,106.61819458007812,0.23996402323246002,106.61819458007812
18,208,32.067298889160156,,,,,,
19,209,,33.45964813232422,,,,,
19,219,,28.994077682495117,,,,,
