epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,3795.052001953125,,,,,
0,11,,,1350.0419921875,0.26893267035484314,1350.0419921875,0.31071311235427856,1350.0419921875
0,11,3849.266845703125,,,,,,
1,19,,1465.562255859375,,,,,
1,23,,,1566.23583984375,0.3119991719722748,1566.23583984375,0.369667112827301,1566.23583984375
1,23,1947.9671630859375,,,,,,
2,29,,1172.939453125,,,,,
2,35,,,3177.21728515625,0.6329118013381958,3177.21728515625,0.9259268045425415,3177.21728515625
2,35,1429.4869384765625,,,,,,
3,39,,1666.119140625,,,,,
3,47,,,1861.044921875,0.370726078748703,1861.044921875,0.45508134365081787,1861.044921875
3,47,1218.3905029296875,,,,,,
4,49,,1093.3458251953125,,,,,
4,59,,1080.32470703125,,,,,
4,59,,,3015.28515625,0.6006544232368469,3015.28515625,0.8584790229797363,3015.28515625
4,59,1182.1697998046875,,,,,,
5,69,,800.6471557617188,,,,,
5,71,,,2573.44873046875,0.5126391649246216,2573.44873046875,0.6893272995948792,2573.44873046875
5,71,952.0559692382812,,,,,,
6,79,,634.949951171875,,,,,
6,83,,,2515.4697265625,0.5010895729064941,2515.4697265625,0.6686050891876221,2515.4697265625
6,83,706.7774047851562,,,,,,
7,89,,652.740478515625,,,,,
7,95,,,2120.56298828125,0.4224229156970978,2120.56298828125,0.5355337858200073,2120.56298828125
7,95,655.6101684570312,,,,,,
8,99,,575.9683227539062,,,,,
8,107,,,1376.69287109375,0.2742415964603424,1376.69287109375,0.31782156229019165,1376.69287109375
8,107,643.2780151367188,,,,,,
9,109,,1010.7127685546875,,,,,
9,119,,655.9346923828125,,,,,
9,119,,,1373.14208984375,0.27353426814079285,1373.14208984375,0.3168719708919525,1373.14208984375
9,119,758.7477416992188,,,,,,
10,129,,690.53125,,,,,
10,131,,,1804.137451171875,0.35938993096351624,1804.137451171875,0.43811744451522827,1804.137451171875
10,131,667.2722778320312,,,,,,
11,139,,715.1696166992188,,,,,
11,143,,,1841.2734375,0.36678752303123474,1841.2734375,0.4491608440876007,1841.2734375
11,143,545.366943359375,,,,,,
12,149,,559.0142211914062,,,,,
12,155,,,1621.588134765625,0.32302552461624146,1621.588134765625,0.38524797558784485,1621.588134765625
12,155,570.2838745117188,,,,,,
13,159,,595.6159057617188,,,,,
13,167,,,1602.380126953125,0.31919923424720764,1602.380126953125,0.37981802225112915,1602.380126953125
13,167,533.7963256835938,,,,,,
14,169,,532.1284790039062,,,,,
14,179,,323.9488525390625,,,,,
14,179,,,1200.73779296875,0.23919080197811127,1200.73779296875,0.27168282866477966,1200.73779296875
14,179,489.3976135253906,,,,,,
15,189,,534.6109008789062,,,,,
15,191,,,1112.71240234375,0.22165586054325104,1112.71240234375,0.24928343296051025,1112.71240234375
15,191,472.9860534667969,,,,,,
16,199,,591.9428100585938,,,,,
16,203,,,1541.1982421875,0.30701160430908203,1541.1982421875,0.36268600821495056,1541.1982421875
16,203,481.7447814941406,,,,,,
17,209,,453.6553955078125,,,,,
17,215,,,1380.02099609375,0.2749045789241791,1380.02099609375,0.3187123239040375,1380.02099609375
17,215,493.7676696777344,,,,,,
18,219,,440.9084777832031,,,,,
18,227,,,1494.9169921875,0.2977922260761261,1494.9169921875,0.3498893976211548,1494.9169921875
18,227,441.8397521972656,,,,,,
19,229,,429.25482177734375,,,,,
19,239,,482.26116943359375,,,,,
19,239,,,1364.41796875,0.27179640531539917,1364.41796875,0.31454211473464966,1364.41796875
19,239,461.2944030761719,,,,,,
20,249,,543.31201171875,,,,,
