trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,43,64,64,2,22,317,0.0008101479346077455,771.4797962734375,20.520911567444415,729783.7703723306,854.2738263416072,-0.00035554104467228065,36.411844,2025-11-12T09:35:53
1,43,64,128,4,15,170,4.447445202307683e-05,1495.5348866888023,44.046457189095854,2887098.8315914753,1699.1465009208227,-2.9575082798191445,12.522751,2025-11-12T09:36:30
2,42,16,256,2,19,370,0.00031923219606144304,849.555842092448,24.579615563612638,905171.4676192143,951.4049966335127,-0.24076929357642873,106.077025,2025-11-12T09:36:42
3,43,32,128,8,26,237,0.00023718295847996405,794.204019092448,21.806542958040133,752765.7624060996,867.6207480265208,-0.031858246378193344,50.849911,2025-11-12T09:38:29
4,42,32,256,4,17,443,1.7669748637597816e-05,1850.055150157552,56.085164455786355,4865504.705849948,2205.7889078173253,-5.669420162622547,63.835852,2025-11-12T09:39:19
5,42,64,128,8,26,297,0.0002419175854611405,763.1627186367188,20.050368065057654,730666.9138834911,854.7905672639884,-0.001566115382981348,39.376067,2025-11-12T09:40:23
6,43,32,128,4,26,153,1.1566884709172413e-05,1144.0683949895833,31.721780401957105,1553564.9413702842,1246.4208524291803,-1.1295585905940406,33.362116,2025-11-12T09:41:03
7,42,64,256,8,10,312,1.4892409437649887e-05,1135.801712046875,31.972648603999993,1495949.264138064,1223.0900474364364,-1.0505815506676974,20.308915,2025-11-12T09:41:36
8,43,32,512,4,16,80,0.00011789922595561612,773.0775861757814,18.39625163644326,899602.6308961554,948.4738430215962,-0.233135776774263,16.513969,2025-11-12T09:41:56
9,43,64,512,4,13,139,7.838603773927139e-05,1237.9792327988282,33.70835827156455,1856551.4722693127,1362.5532915336973,-1.5448792202815298,20.987953,2025-11-12T09:42:13
10,43,32,512,4,12,209,0.00011260116545188998,1343.9404942389322,36.39366836149612,2209307.9674258144,1486.3741007652866,-2.028422331125536,32.42989,2025-11-12T09:42:34
11,43,16,64,8,11,329,0.0006543853816772706,859.864191701823,25.049597829671356,941418.1635644259,970.2670578580033,-0.2904546724590731,55.24031,2025-11-12T09:43:06
12,43,16,512,4,21,556,3.291446805448088e-05,760.8765858242188,19.920859900214495,731796.1595438533,855.4508516237817,-0.0031140357388528273,193.031398,2025-11-12T09:44:02
13,42,32,96,2,26,65,0.00017787409102391636,772.7624907721355,20.59348921955112,730090.4123716662,854.4532827321025,-0.0007758724299482544,14.000421,2025-11-12T09:47:15
14,42,32,256,4,16,397,1.736382335236231e-05,1618.1281114453122,48.543155499771586,3554179.664023991,1885.2532095249146,-3.8719133873869644,53.205806,2025-11-12T09:47:29
15,42,32,256,4,17,472,1.5042682897723033e-05,1968.7604763541665,58.76501830023307,5141786.59893342,2267.5507930217177,-6.048135247633763,68.270103,2025-11-12T09:48:23
16,42,32,256,4,18,496,1.6871787950941892e-05,1878.1585368606768,56.56845133929086,4857317.832626018,2203.9323566357516,-5.658197956366561,75.092759,2025-11-12T09:49:32
17,42,32,256,4,16,478,1.284132445193694e-05,1808.2230821484372,54.18931062733069,4412664.422205139,2100.6342904478015,-5.048686590099815,64.246642,2025-11-12T09:50:48
18,42,32,256,4,19,463,1.4065628136387703e-05,1782.1788926953122,53.86140863266681,4446570.059168652,2108.689180312891,-5.095162948147342,75.791033,2025-11-12T09:51:53
19,42,32,256,4,16,482,2.0264673997169566e-05,1772.3665147656247,52.907279944145245,4169455.372153317,2041.9244286097655,-4.715306305789815,65.1085,2025-11-12T09:53:10
20,42,32,256,4,17,477,1.2359809265097256e-05,2024.9785238398435,61.23364505561775,5755185.498770432,2398.996769228844,-6.888955519657075,69.483561,2025-11-12T09:54:16
21,42,32,256,4,17,489,1e-05,1986.2038928333332,60.230541587867535,5613593.485284793,2369.30232036454,-6.694867406152213,71.02971,2025-11-12T09:55:27
22,42,32,256,4,17,479,1e-05,1906.175901972656,56.61230633857676,4745027.586358276,2178.308423148172,-5.504275418459346,69.338974,2025-11-12T09:56:40
23,42,32,256,4,17,498,1.1672659535761557e-05,1877.0546454622393,56.37241491931143,4796547.315346592,2190.102124410319,-5.574896400260965,72.578891,2025-11-12T09:57:51
24,42,32,256,4,17,475,1.1226594791482753e-05,2141.7524971627604,64.74302790951144,6427202.828404822,2535.1928582269284,-7.810127360783147,69.375721,2025-11-12T09:59:06
25,42,32,256,4,17,466,1.0059761923657133e-05,1916.6628404492185,57.612980188237096,5019443.100285234,2240.411368540437,-5.88043215289234,67.940643,2025-11-12T10:00:16
26,42,32,256,4,17,476,1.1021780569192856e-05,1801.116799596354,53.70127584897192,4287811.880168434,2070.7032332443086,-4.877544208876115,68.849218,2025-11-12T10:01:25
27,42,64,64,8,30,50,1e-05,1330.2393093528647,30.689161002910254,2482116.464180556,1575.4734095441142,-2.4023762369974615,8.182323,2025-11-12T10:02:35
28,43,16,512,8,30,50,1e-05,1438.5772654322918,40.19196005464929,2542704.2642348413,1594.585922499895,-2.485427332355595,25.880578,2025-11-12T10:02:45
29,43,16,512,4,30,50,1e-05,1413.8276903867188,31.6190470499712,3215250.3777743434,1793.1119256126606,-3.407324007235128,24.900608,2025-11-12T10:03:12
30,43,64,64,2,30,600,1e-05,1254.0111440130208,36.88074144057094,2004878.191162903,1415.9372130016582,-1.7481989721780078,94.520742,2025-11-12T10:03:39
31,43,32,64,2,30,600,1e-05,1627.0701077018227,47.65818466580882,3288479.5407752297,1813.4165381332634,-3.5077033277242995,155.573588,2025-11-12T10:05:15
