trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,24,37,32,256,32,9,1429,0.0006304277057824188,509.2381616335985,22.25717347134609,400356.214115241,632.7370813499404,0.25240739128689893,214.824387,2025-11-23T02:08:07
1,16,47,16,256,8,5,1730,0.0067911462690187,713.6052583276717,25.57828260114231,658737.6854630038,811.6265677409801,-3.4061182757228927,270.039875,2025-11-23T02:11:42
2,16,47,64,256,8,1,1766,0.0002568073715782529,258.0890563118918,10.521348221992726,94813.2565568332,307.9176132617834,0.36581976146963824,27.283773,2025-11-23T02:16:12
3,24,38,32,256,32,10,1018,0.004613970574248521,712.2067268247891,43.048601240315286,588648.7498774314,767.2344816791223,-0.0991947646150495,164.067524,2025-11-23T02:16:39
4,12,44,16,512,4,9,1785,4.5502134129390936e-05,277.6926344241612,12.706556143376943,116782.51615143911,341.7345697342297,-1.039562279435554,560.955596,2025-11-23T02:19:23
5,24,33,16,512,8,5,1663,0.0009653228769285591,719.8078010435391,43.98203923545913,603588.397721195,776.9095170746688,-0.12709184704065013,256.395324,2025-11-23T02:28:44
6,12,46,64,1024,16,7,855,0.0001872414943005921,244.83836800870117,11.554172466024628,81846.70448875609,286.08863047796234,-0.429421600703527,324.586958,2025-11-23T02:33:00
7,16,33,32,1024,4,3,926,0.0006278490563957194,434.6037988873796,15.289173036692915,283456.5728564295,532.406398211394,-0.8959643779278439,135.340086,2025-11-23T02:38:25
8,12,24,16,1024,4,2,581,0.0003613477428957729,363.4191175204199,17.383929022003638,169290.21479527684,411.4489212469475,-1.956589288813114,62.879565,2025-11-23T02:40:40
9,12,33,64,512,16,2,1388,0.00014204003138492625,295.43217420117725,13.562420983032316,118642.37699724389,344.4450275403085,-1.072044042554817,56.420326,2025-11-23T02:41:43
10,24,45,32,1024,8,7,1900,0.00027225145612412983,395.708237848756,17.382466832328756,241967.08795117834,491.90150228595394,0.548170353983654,726.999056,2025-11-23T02:42:40
11,12,36,16,512,8,2,1004,3.164831100503464e-05,320.0228346194737,14.795479573620687,130537.2239062278,361.2993549762133,-1.279783025021716,79.900777,2025-11-23T02:54:47
12,16,41,64,1024,4,4,344,0.00018664492558805439,309.1974485458934,12.735783160035108,124918.86263703546,353.4386264078043,0.16445150202588232,66.520956,2025-11-23T02:56:07
13,24,37,32,256,8,8,1696,0.0014503209089885075,713.7841194029141,43.24231046131561,591597.03292931,769.1534521337793,-0.1047001484214416,202.382854,2025-11-23T02:57:13
14,24,28,64,256,16,9,491,0.0056821102335380515,711.6897488788255,42.985121485720576,587699.808764923,766.6158156240472,-0.09742278921713288,44.290772,2025-11-23T03:00:36
15,24,40,32,1024,16,6,450,3.8535079048901725e-05,302.80170588704055,20.455039733062044,138260.66097621038,371.8341847869967,0.7418232949124396,132.74386,2025-11-23T03:01:20
