trial_index,p,d,q,P,D,Q,m,mae,mape,mse,rmse,r2,runtime_s,started_at
0,2,1,2,1,0,1,24,665.2111123061676,17.02567630461015,715088.0465181504,845.6287876593076,0.019788711792974478,4.766193,2025-11-09T17:46:56
1,5,2,5,1,0,2,52,543.2682554282937,13.916473538627194,583827.5388207007,764.0860807662319,0.19971485091290686,45.061544,2025-11-09T17:47:01
2,1,1,2,1,1,0,7,2971.7983274652506,86.44136748323875,11190606.508349681,3345.236390503619,-14.339591921271117,2.803622,2025-11-09T17:47:46
3,1,2,4,0,1,1,24,3684.359143225425,113.25897615983116,22537259.453914076,4747.3423569313045,-29.89308544527091,12.560958,2025-11-09T17:47:49
4,4,0,0,2,0,2,12,460.1451605756776,12.946566102681501,320910.5843584913,566.4897036650281,0.5601098650369876,4.87423,2025-11-09T17:48:01
