trial_index,test_size,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,24,29,64,1024,32,10,470,1.1030597607137764e-05,1469.410717957633,83.30311410361126,2405117.413266223,1550.8440970214326,-17.661491379222138,184.430989,2025-11-21T13:53:18
1,12,38,16,256,32,5,699,2.1699006541428576e-05,93.38611327213823,5.636108758213429,12938.818523398419,113.74892757032225,0.45154196679249414,122.516716,2025-11-21T13:56:22
2,12,45,32,1024,4,3,1971,0.00017570525138942508,309.0275117481131,19.188378742262387,105380.6026701083,324.62378635908414,-3.46693320368858,356.009871,2025-11-21T13:58:25
3,16,47,32,1024,16,2,1314,0.006982325651054145,730.498691404789,44.64075595781278,595238.971072874,771.5173174160603,-8.66130264821492,162.944902,2025-11-21T14:04:21
4,16,26,16,512,32,2,1538,2.8193130456138086e-05,191.63411180907326,11.282138332488397,49834.3253070793,223.23603048584988,0.1911408317343789,135.343995,2025-11-21T14:07:04
5,24,30,64,256,8,7,305,4.9343142835251356e-05,953.74589251818,53.839435036742515,1008461.2460258831,1004.221711588573,-6.824728533079941,21.461296,2025-11-21T14:09:19
6,24,25,16,1024,4,5,1827,1.4521459263050448e-05,208.43481400658507,11.245864245755358,58399.989590016194,241.66089793348073,0.5468699797068426,496.683302,2025-11-21T14:09:41
7,24,46,64,1024,32,2,1314,4.494251980854052e-05,476.4163942271642,25.31267016592804,271549.82900871796,521.104431960349,-1.1069760524470955,141.776792,2025-11-21T14:17:57
8,16,30,32,512,16,1,1843,0.00018561479962381683,253.07537275807428,14.962397530256242,86519.27461238904,294.14158939597274,-0.4042912805720371,51.015021,2025-11-21T14:20:19
9,12,31,64,256,4,1,700,0.0031635703740221536,84.89267255843929,5.1761860798572155,11502.953523819147,107.25182293937547,0.5124062328919541,11.927477,2025-11-21T14:21:10
10,16,36,64,512,16,9,1805,0.0008733418805261937,552.9543315055735,34.20213646305301,363081.2498912066,602.5622373591019,-4.893158901824725,338.635889,2025-11-21T14:21:22
11,24,37,64,256,32,1,1228,0.0001322525916990763,349.7507504001712,18.586569069509885,168379.34520633184,410.3405234757248,-0.30646831696246113,19.37333,2025-11-21T14:27:01
12,16,32,16,256,8,4,1422,2.38044564979322e-05,234.7722677655462,13.458753398016443,74134.85835679455,272.2771719347668,-0.203280259147967,206.232617,2025-11-21T14:27:20
13,12,26,32,512,4,6,1461,0.0001808064244934711,226.49070652915054,13.91058740640714,65493.697508181685,255.9173646085425,-1.77618427508403,186.275773,2025-11-21T14:30:46
14,24,39,32,1024,16,8,1672,0.004111721369718821,400.67484990913266,23.526247720354977,222632.3371981386,471.8393129002061,-0.727421463269436,675.201573,2025-11-21T14:33:53
15,24,35,16,512,16,10,1716,0.0002755492590583192,417.92922599238585,22.4472809308368,220288.96004498552,469.34950734499074,-0.7092390193269409,563.828925,2025-11-21T14:45:08
16,24,29,64,1024,32,10,421,1.4427748228903e-05,1361.4166790578936,77.22361143592664,2068399.5998332594,1438.1931719464042,-15.048871912933222,163.866659,2025-11-21T14:54:33
17,24,29,64,1024,32,10,570,1e-05,1461.7447633677893,82.41944982339913,2337334.763916885,1528.8344462095577,-17.135560578706375,224.381203,2025-11-21T14:57:18
18,24,29,64,1024,32,10,525,1e-05,1693.4048178925289,95.01029392340779,3086114.500328232,1756.7340437095856,-22.945400264246032,206.58345,2025-11-21T15:01:03
19,24,29,64,1024,32,10,576,1e-05,1500.195375753857,84.50794371031606,2453989.5523667424,1566.5214816167515,-18.040694073226973,229.709037,2025-11-21T15:04:32
20,16,48,32,1024,32,1,678,0.01,579.3335887077219,35.80319296557761,397151.4201213814,630.199508188781,-5.446150627612823,44.897112,2025-11-21T15:08:23
21,12,48,64,1024,32,3,1623,0.01,596.0127412403007,37.6858651113511,378822.4522113882,615.4855418378146,-15.057742575102711,278.303867,2025-11-21T15:09:10
22,24,29,64,1024,32,10,563,1e-05,1391.1081463430498,78.60507291558356,2131257.570320658,1459.88272485178,-15.536591750599271,220.966009,2025-11-21T15:13:49
23,16,48,16,1024,32,1,1891,0.01,361.3106362636406,22.44884613505246,163646.9099520389,404.5329528629762,-1.6561471968848251,150.480137,2025-11-21T15:17:31
24,24,29,64,1024,32,10,543,1e-05,1034.5342836314612,59.87804462333003,1302688.6951952057,1141.353886923423,-9.107661988186095,213.538225,2025-11-21T15:20:02
25,24,29,64,1024,32,10,508,1e-05,1584.124819113232,89.38598657753776,2749874.1402725354,1658.2744466078393,-20.336485395510106,199.646845,2025-11-21T15:23:36
26,24,29,64,1024,32,10,444,1e-05,1307.4546734426592,74.77972006932862,1969904.5996754428,1403.5328993919034,-14.284641615400501,175.602917,2025-11-21T15:26:56
27,24,29,64,1024,32,10,542,1.0855540508472209e-05,1544.8021771047686,86.94833558732448,2594658.1032288824,1610.7942460875884,-19.132152201117933,213.238407,2025-11-21T15:29:53
28,24,29,64,1024,32,10,567,1.2386332154310744e-05,1553.9012575084143,86.83981237071485,2570804.0199300633,1603.3727015045702,-18.94706653029589,222.669878,2025-11-21T15:33:28
