trial_index,window_size,batch_size,d_model,num_layers,epoch_number,lr,n_head,mae,mape,mse,rmse,r2,runtime_s,started_at
0,75,64,128,4,155,0.0001517758430444826,8,709.197173057861,16.295848453782995,809369.4856828336,899.6496460749782,-0.10944814426637328,6.250235,2025-11-10T15:54:55
1,126,32,256,2,62,0.002558538723651309,1,2084.282820668219,50.7911246603676,5074571.752963147,2252.6810144721217,-5.956000088787298,1.73098,2025-11-10T15:55:01
2,150,128,384,5,193,2.7913349330311716e-05,2,1070.3290835151809,24.2315322289962,1806323.987258453,1343.9955309666966,-1.4760295897701288,11.002509,2025-11-10T15:55:03
3,49,16,64,3,100,0.0004705456164579467,4,1750.7948013520675,47.24701261617169,3671515.4403601536,1916.119891958787,-4.03275211631728,5.87018,2025-11-10T15:55:14
4,17,32,96,6,171,0.00024481867793764867,8,1576.057676326005,46.96614190347908,3364810.764245926,1834.3420521391113,-3.612334816466058,11.908833,2025-11-10T15:55:20
