trial_index,window_size,batch_size,epoch_number,lr,hidden_size1,hidden_size2,hidden_size3,dropout,weight_decay,mae,mape,mse,rmse,r2,runtime_s,started_at
0,90,64,125,0.00017320508075688776,192,192,192,0.3,1e-05,0.11068910691398176,34.34416250065218,0.020148094443733784,0.1419439834714166,-1.3091550379647332,0.537613,2025-11-10T15:04:16
1,23,16,72,0.00013052005246034837,64,512,320,0.18173852562904358,1.0914887601969918e-08,0.10282490341189136,41.41923978529903,0.013286750170410247,0.11526816633576786,-0.5227825231742289,0.567628,2025-11-10T15:04:17
2,127,64,145,0.0011539264390612012,384,32,32,0.5684222085401416,0.0003530346269779909,0.23718325939687768,83.6292614859976,0.06485741274907858,0.2546711855492855,-6.433249919347646,0.585874,2025-11-10T15:04:17
3,162,32,113,2.3245675562442327e-05,192,192,128,0.3444531826302409,0.00023845038656683867,0.11621417300540059,35.83659122177302,0.020868942489634095,0.14446086836799124,-1.391770786141128,0.295358,2025-11-10T15:04:18
4,67,128,187,0.00018749303419543164,128,160,512,0.10776744894683361,6.973148252326512e-06,0.09984479338071993,31.99225448313831,0.015270652245701006,0.12357448056011,-0.7501557611139149,0.303032,2025-11-10T15:04:18
