trial_index,window_size,batch_size,d_model,n_head,num_layers,epoch_number,lr,mae,mape,mse,rmse,r2,runtime_s,started_at
0,12,16,256,32,4,413,9.767310679188287e-05,334.8477123503266,21.270971905626492,136629.98028029408,369.63492838244343,-4.791549678681812,5.660518,2025-11-20T20:11:09
1,12,16,256,16,6,758,0.0013173943818730386,596.9536795541027,37.7437385653616,379935.34079658956,616.3889525263976,-15.104916332390886,14.011871,2025-11-20T20:11:15
2,12,16,256,32,1,730,1.4427429279573703e-05,430.9814370333256,27.188271611564836,279485.2405999601,528.6636365402486,-10.846980084988443,3.551084,2025-11-20T20:11:29
3,24,32,1024,8,7,609,2.9051094028404773e-05,366.2692007943371,23.81652881721711,179996.08666149326,424.25945677320294,-6.629776976691159,12.060934,2025-11-20T20:11:32
4,12,32,256,16,9,753,0.00019947219098060827,142.76647660293528,9.223609218879664,27299.699337320173,165.22620656941857,-0.15719525539571744,10.022549,2025-11-20T20:11:45
5,12,64,256,32,6,794,5.810695887749943e-05,423.8674877409517,27.024810888389446,206442.0622909338,454.3589575335054,-7.750784103713368,7.012973,2025-11-20T20:11:55
6,12,16,1024,16,8,479,0.0013705879839370119,713.7722016895194,44.95290281427744,533062.0200609639,730.1109642108958,-21.595737514329592,15.252584,2025-11-20T20:12:02
7,24,32,1024,4,5,339,8.281082047404808e-05,327.8928478483735,21.552546576920665,163975.68285897328,404.9391100634431,-5.950694945759919,4.854833,2025-11-20T20:12:17
8,12,64,1024,16,9,515,1.0129213711181863e-05,218.70115676764433,13.72098902862828,56764.51220474101,238.2530423829694,-1.4061665803176093,12.394045,2025-11-20T20:12:22
9,12,32,512,32,2,473,0.008121900306114578,805.2775117481132,50.60835391151045,672488.7734364213,820.0541283576476,-27.505838409131098,1.884919,2025-11-20T20:12:34
10,24,16,512,8,8,715,0.005314081577820133,605.3033906543632,38.25919152428121,389983.07707589556,624.4862505098856,-15.530825519382748,16.447003,2025-11-20T20:12:36
11,24,64,256,32,9,471,3.0733638906453193e-05,380.839004668035,24.63298833099205,186346.80943249943,431.6790583668606,-6.898975042506315,6.11493,2025-11-20T20:12:52
12,12,16,1024,4,9,599,0.001812434690306118,740.348048043686,46.59292156455327,571706.5192444789,756.1127688675009,-23.23382262837235,21.181549,2025-11-20T20:12:59
13,12,32,1024,16,6,378,1.4481458728231418e-05,166.73990355534133,10.230024708695453,38882.732731371514,197.18705011072993,-0.6481834938032591,6.036782,2025-11-20T20:13:20
