epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,9,,1850.8681640625,,,,,
0,11,,,3849.31494140625,0.7535855174064636,3849.31494140625,1.2092053890228271,3849.31494140625
0,11,2742.180908203125,,,,,,
1,19,,1582.474609375,,,,,
1,23,,,1444.45849609375,0.282783567905426,1444.45849609375,0.32935112714767456,1444.45849609375
1,23,1493.3489990234375,,,,,,
2,29,,1429.462646484375,,,,,
2,35,,,337.73193359375,0.06611823290586472,337.73193359375,0.06400236487388611,337.73193359375
2,35,1223.9166259765625,,,,,,
3,39,,899.2219848632812,,,,,
3,47,,,80.38037109375,0.01573617197573185,80.38037109375,0.015860969200730324,80.38037109375
3,47,926.51513671875,,,,,,
4,49,,820.094482421875,,,,,
4,59,,942.002685546875,,,,,
4,59,,,541.4580078125,0.10600195825099945,541.4580078125,0.10066653788089752,541.4580078125
4,59,857.533203125,,,,,,
5,69,,449.60845947265625,,,,,
5,71,,,670.4619140625,0.13125722110271454,670.4619140625,0.1404765099287033,670.4619140625
5,71,777.4478149414062,,,,,,
6,79,,704.7496948242188,,,,,
6,83,,,225.3779296875,0.04412253946065903,225.3779296875,0.04511789605021477,225.3779296875
6,83,785.3583984375,,,,,,
7,89,,679.3436889648438,,,,,
7,95,,,80.5419921875,0.015767814591526985,80.5419921875,0.015893112868070602,80.5419921875
7,95,712.451171875,,,,,,
8,99,,736.6549682617188,,,,,
8,107,,,110.34765625,0.02160290814936161,110.34765625,0.021372059360146523,110.34765625
8,107,638.1384887695312,,,,,,
9,109,,812.796142578125,,,,,
9,119,,491.4692077636719,,,,,
9,119,,,69.876953125,0.013679904863238335,69.876953125,0.013774119317531586,69.876953125
9,119,684.3029174804688,,,,,,
10,129,,320.7618103027344,,,,,
10,131,,,559.81787109375,0.10959629714488983,559.81787109375,0.11595015227794647,559.81787109375
10,131,541.7030029296875,,,,,,
11,139,,598.4129638671875,,,,,
11,143,,,168.1044921875,0.03291004151105881,168.1044921875,0.032377272844314575,168.1044921875
11,143,513.7462768554688,,,,,,
12,149,,554.0860595703125,,,,,
12,155,,,416.82421875,0.08160223811864853,416.82421875,0.085073322057724,416.82421875
12,155,490.3934631347656,,,,,,
13,159,,427.7867431640625,,,,,
13,167,,,437.705078125,0.08569011092185974,437.705078125,0.08952584862709045,437.705078125
13,167,452.6413269042969,,,,,,
14,169,,525.058349609375,,,,,
14,179,,420.219482421875,,,,,
14,179,,,7.21826171875,0.0014131288044154644,7.21826171875,0.001414127997122705,7.21826171875
14,179,460.6766662597656,,,,,,
15,189,,496.1436767578125,,,,,
15,191,,,175.115234375,0.03428254276514053,175.115234375,0.034880440682172775,175.115234375
15,191,449.3746643066406,,,,,,
16,199,,328.23455810546875,,,,,
16,203,,,443.00830078125,0.08672832697629929,443.00830078125,0.09065970778465271,443.00830078125
16,203,478.4294738769531,,,,,,
17,209,,544.0435791015625,,,,,
17,215,,,147.2900390625,0.028835168108344078,147.2900390625,0.02925698272883892,147.2900390625
17,215,442.8213806152344,,,,,,
18,219,,316.4365539550781,,,,,
18,227,,,618.35107421875,0.12105541676282883,618.35107421875,0.12885470688343048,618.35107421875
18,227,408.8687744140625,,,,,,
19,229,,352.7762451171875,,,,,
19,239,,335.166015625,,,,,
19,239,,,515.453125,0.10091094672679901,515.453125,0.10627300292253494,515.453125
19,239,377.9367370605469,,,,,,
20,249,,327.56829833984375,,,,,
20,251,,,422.7958984375,0.08277131617069244,422.7958984375,0.08634475618600845,422.7958984375
20,251,384.8949279785156,,,,,,
21,259,,334.0469970703125,,,,,
21,263,,,99.94580078125,0.019566522911190987,99.94580078125,0.01975983753800392,99.94580078125
21,263,389.8133239746094,,,,,,
22,269,,271.052490234375,,,,,
22,275,,,271.75048828125,0.05320095643401146,271.75048828125,0.0546547994017601,271.75048828125
22,275,357.3548889160156,,,,,,
23,279,,389.8677673339844,,,,,
23,287,,,488.2236328125,0.09558019787073135,488.2236328125,0.10037723183631897,488.2236328125
23,287,364.275146484375,,,,,,
24,289,,327.01739501953125,,,,,
24,299,,385.01690673828125,,,,,
24,299,,,202.2685546875,0.039598386734724045,202.2685546875,0.040398240089416504,202.2685546875
24,299,396.5526428222656,,,,,,
25,309,,383.38006591796875,,,,,
25,311,,,358.68408203125,0.07022006064653397,358.68408203125,0.07277520000934601,358.68408203125
25,311,368.1226806640625,,,,,,
26,319,,279.43463134765625,,,,,
26,323,,,339.7451171875,0.06651235371828079,339.7451171875,0.06880039721727371,339.7451171875
26,323,348.8884582519531,,,,,,
27,329,,383.59185791015625,,,,,
27,335,,,393.0888671875,0.07695553451776505,393.0888671875,0.08003510534763336,393.0888671875
27,335,305.0176086425781,,,,,,
28,339,,243.2847900390625,,,,,
28,347,,,337.3583984375,0.06604510545730591,337.3583984375,0.06830056756734848,337.3583984375
28,347,312.1374816894531,,,,,,
29,349,,262.68341064453125,,,,,
29,359,,225.9561309814453,,,,,
29,359,,,500.01611328125,0.09788882732391357,500.01611328125,0.10292649269104004,500.01611328125
29,359,341.9241027832031,,,,,,
30,369,,283.05157470703125,,,,,
30,371,,,352.916015625,0.0690908432006836,352.916015625,0.07156301289796829,352.916015625
30,371,283.588134765625,,,,,,
31,379,,318.8681640625,,,,,
31,383,,,274.09912109375,0.05366075038909912,274.09912109375,0.055140186101198196,274.09912109375
31,383,315.0529479980469,,,,,,
32,389,,285.80023193359375,,,,,
